Morning Snack1,Morning Snack2,Lunch1,Lunch2,Lunch3,Lunch4,Lunch5,Afternoon Snack1,Afternoon Snack2,Dinner1,Dinner2,Dinner3,Dinner4,Dinner5
S_egg veggie porridge,#N/A,steamed sweet millet rice,mushroom soy paste soup,stir-fried pork and green bean sprout,wild parsnip,napa cabbage kimchi,S_strawberry,S_milk (100ml),steamed black rice,bean powder mugwort  soup,grilled mackerel,seasoned salad with sedum in vinegar marinade,radish kimchi cubes
S_sweet potato porridge,#N/A,steamed sweet rice,mild beef stew,soft tofu + marinade sauce,stir-fried soft crab and vegetables,napa cabbage kimchi,S_tomato,S_milk (100ml),steamed white rice,green bean sprout soup,braised pork and sweet pumpkin,seasoned cucumber,napa cabbage kimchi
S_milk (200ml),#N/A,fried tofu rice ball,mini-udon (white wheat noodles),chicken tender salad (mustard dressing),#N/A,napa cabbage kimchi,S_toasted bread,S_barley tea,#N/A,#N/A,#N/A,#N/A,#N/A
S_white rice porridge,#N/A,steamed white rice,beef seaweed soup,braised Spanish mackerel and daikon,seasoned perilla leaf,napa cabbage kimchi,S_apple,S_milk (100ml),steamed sweet millet rice,Sujebi,pan-fried vegetables with soft crab,seasoned salad with crown daisy and perilla seed,radish kimchi cubes
S_dried radish leaves porridge,#N/A,steamed millet rice,curled mallow soy paste soup,steamed eggs,stir-fried anchovy and nuts,napa cabbage kimchi,S_bread roll,S_milk (100ml),steamed black rice,summer radish soy paste soup,steamed Spanish mackerel in marinade sauce,seasoned salad with chicory and apple,napa cabbage kimchi
S_spinach soy paste porridge,#N/A,curried rice with pork,fried tofu soy paste soup,seasoned salad with cucumber,#N/A,napa cabbage kimchi,S_cereal,S_milk (100ml),steamed mung bean rice,Maesaengyi tofu soup,braised chicken drumsticks,seasoned salad with curled mallow,napa cabbage kimchi
S_tuna veggie porridge,#N/A,steamed millet rice,daikon soup,stir-fried beef and glass noodles,stir-fried beef and glass noodles,napa cabbage kimchi,S_orange,S_milk (100ml),steamed millet rice,soy puree stew,stir-fried pork and cucumber,seasoned salad with sea spurrey in vinegar paste,radish kimchi cubes
S_perilla porridge,#N/A,steamed black rice,chicken bone soup,braised tofu in soy sauce,seasoned salad with broccoli in soy paste,napa cabbage kimchi,S_pear,S_milk (100ml),steamed sweet brown rice,chard soy paste soup,stir-fried beef and bokchoy,seasoned daikon,napa cabbage kimchi
S_milk (200ml),#N/A,stir-fried rice with seafood,miso paste soup,seasoned salad with acorn jelly,#N/A,napa cabbage kimchi,S_grilled rice cake,S_barley tea,#N/A,#N/A,#N/A,#N/A,#N/A
S_oatmeal porridge,#N/A,steamed white rice,zucchini soy paste soup,Korean beef kebab,pigweed,napa cabbage kimchi,S_doughnut,S_milk (100ml),steamed millet rice,dried cabbage leaf soy paste soup,grilled tofu with sweet rice powder,summer radish,radish kimchi cubes
S_rice crust porridge,#N/A,steamed sweet brown rice,clam soup,steamed chicken drumstick with chive and bean powder,seasoned green bean sprout,napa cabbage kimchi,S_rice cake with bean paste,S_milk (100ml),steamed black rice,red chilli paste stew with potato,stir-fried beef and vegetables,seasoned zucchini,napa cabbage kimchi
S_sweet pumpkin porridge,#N/A,Mapa tofu rice bowl,mushroom soup,deep-fried onion ring,#N/A,napa cabbage kimchi,S_kiwi,S_milk (100ml),steamed sweet millet rice,seaweed soup,braised chicken and beef in soy sauce with rice cake,fresh kimchi with chive,radish kimchi cubes
S_beef porridge,#N/A,steamed millet rice,egg spring onion soup,stir-fried beef and rice cake,braised potato,napa cabbage kimchi,S_apple,S_milk (100ml),steamed mung bean rice,tofu salted shrimp soup or stew,stir-fried vegetables and fried fish paste,bracken,napa cabbage kimchi
S_abalone porridge,#N/A,steamed millet rice,bokchoy soy paste soup,steamed pork rib,seasoned dried radish leaves,radish kimchi cubes,S_tomato,S_milk (100ml),steamed white rice,cuttlefish soup,rolled omelette with vegetables,braised burdock slices,napa cabbage kimchi
S_milk (200ml),#N/A,beef bean sprout rice + marinade sauce,tofu soy paste soup,pan-fried corn,#N/A,napa cabbage kimchi,S_sweet red bean bun,S_barley tea,#N/A,#N/A,#N/A,#N/A,#N/A
S_chicken porridge,#N/A,steamed white rice,tofu soup,stir-fried beef and mushroom,fresh kimchi with spring parsley,radish kimchi cubes,S_pear,S_milk (100ml),steamed sweet millet rice,dried radish leaf soy paste soup,barbequed pork,seasoned bokchoy,radish kimchi cubes
S_chard porridge,#N/A,steamed sweet brown rice,fried fish paste soup,braised Atka mackerel in sweet soy sauce,seasoned salad with sedum,radish kimchi cubes,S_steamed sweet potato,S_milk (100ml),steamed millet rice,winter mushroom soy paste soup,stir-fried beef and broccoli,seasoned salad with spring parsley,radish kimchi cubes
S_veggie porridge,#N/A,stir-fried rice with tuna and kimchi,miso paste soup,pan-fried meat dumpling,#N/A,napa cabbage kimchi,S_sweet pumpkin salad,S_milk (100ml),steamed black rice,rice cake soup,grilled Atka mackerel,seasoned chard,napa cabbage kimchi
S_summer radish porridge,#N/A,steamed millet rice,potato onion soup,braised pork and lotus root,seasoned spinach,radish kimchi cubes,S_muffin,S_milk (100ml),steamed rice with black beans,tuna kimchi stew,braised eggs in soy sauce,seasoned salad with cucumber,radish kimchi cubes
S_seafood porridge,#N/A,steamed millet rice,winter cabbage soy paste soup,steamed chicken,stir-fried dried pollack,napa cabbage kimchi,S_kiwi,S_milk (100ml),steamed white rice,dried pollack soup,roasted pork and vegetables,stir-fried potato,napa cabbage kimchi
S_milk (200ml),#N/A,tomato spaghetti,cream soup,corn salad,#N/A,radish kimchi cubes,S_fermented rice cake,S_barley tea,#N/A,#N/A,#N/A,#N/A,#N/A
S_seaweed porridge,#N/A,steamed black rice,crab soy paste soup,braised pork in soy sauce,seasoned herbs with aubergine and perilla seed,napa cabbage kimchi,S_apple,S_milk (100ml),steamed sweet brown rice,acorn jelly soup,spicy stir-fried chicken,seasoned salad with lettuce in vinegar marinade,radish kimchi cubes
S_pine nut porridge,#N/A,steamed sweet millet rice,bean sprout soup,chop steak,fresh kimchi with chive,napa cabbage kimchi,S_boiled egg,S_milk (100ml),steamed white rice,soft tofu stew,stir-fried rice with shrimp,seasoned salad with aubergine in marinade sauce,napa cabbage kimchi
S_potato porridge,#N/A,stir-fried rice with pork in oyster sauce,zucchini soup,deep-fried spring rolls,lettuce salad (thousand island dressing),radish kimchi cubes,S_tomato,S_milk (100ml),steamed millet rice,kimchi soup,stir-fried beef and chives,seasoned salad with bean sprout and salted seaweed,radish kimchi cubes
S_curled mallow soy paste porridge,#N/A,steamed millet rice,rich soy paste stew,stir-fried chicken breast and cabbage,seasoned salad with hijiki and tofu,napa cabbage kimchi,S_sponge cake,S_milk (100ml),steamed sweet millet rice,freshwater snail soy paste soup,steamed pork slices,steamed cabbage wraps + soy red chilli paste,radish kimchi cubes
S_potato porridge,#N/A,steamed white rice,dried pollack seaweed soup,stir-fried pork with glass noodles,seasoned salad with cucumber,napa cabbage kimchi,S_cake,S_milk (100ml),#N/A,#N/A,#N/A,#N/A,#N/A
S_kiwi,S_milk (200ml),steamed sweet brown rice,bokchoy soy paste soup,grilled mackerel,pigweed,radish kimchi cubes,S_rainbow rice cake,S_barley tea,steamed black rice,mushroom soup,stir-fried chicken breast and winter celery,seasoned cabbage,radish kimchi cubes
S_milk (200ml),#N/A,chicken-mayo rice bowl,tofu soy paste soup,#N/A,S_orange,napa cabbage kimchi,S_cream bun,S_barley tea,#N/A,#N/A,#N/A,#N/A,#N/A
S_Korean melon,S_milk (200ml),steamed millet rice,red chilli paste stew with potato,stir-fried pork and aubergine,seasoned perilla leaf,napa cabbage kimchi,S_soy-based mixed noodles,S_barley tea,steamed rice with black beans,shrimp soup,braised mackerel,seasoned salad with pigweed in soy paste,napa cabbage kimchi
S_kimchi cheese  porridge,#N/A,steamed sweet millet rice,seaweed soup,stir-fried beef and paprika,sensoned red-pepper leaf,napa cabbage kimchi,S_sweet pumpkin salad,S_milk (100ml),steamed sweet brown rice,cold aubergine soup,roasted pork,braised mini-potato,radish kimchi cubes
S_cereal,S_milk (200ml),Bibimbap with barley rice and summer radish,fried tofu soy paste soup,fried eggs,#N/A,napa cabbage kimchi,S_pan-fried meat dumpling,S_barley tea,steamed white rice,beef soup,stir-fried sausage and vegetables,seasoned salad with seaweed in vinegar marinade,napa cabbage kimchi
S_orange,S_milk (200ml),steamed black rice,curled mallow soy paste soup,grilled Spanish mackerel in curry,seasoned salad with lotus root in black sesame sauce,napa cabbage kimchi,S_milk bread roll,S_barley tea,steamed millet rice,summer radish soy paste soup,stir-fried spicy pork,lettuce-wraps,radish kimchi cubes
S_melon,S_milk (200ml),steamed millet rice,clam soup,grilled tofu with sweet rice powder,seasoned salad with cucumber and soft crab,napa cabbage kimchi,S_steamed sweet potato,S_barley tea,steamed sweet millet rice,soy puree stew,steamed Spanish mackerel in marinade sauce,braised lotus root,radish kimchi cubes
S_milk (200ml),#N/A,hashed rice,egg spring onion soup,chicken nuggets + mustard,#N/A,napa cabbage kimchi,S_pounded rice cake,S_barley tea,#N/A,#N/A,#N/A,#N/A,#N/A
S_apple,S_milk (200ml),steamed black rice,summer radish soy paste soup,stir-fried chicken breast and vegetables,seasoned fuki stem and perilla seed,napa cabbage kimchi,S_rice ball with seaweed flakes,S_barley tea,steamed white rice,tofu stew,steamed beef with sweet pumpkin,seasoned salad with cucumber,napa cabbage kimchi
S_soft crab porridge,#N/A,steamed millet rice,daikon soup,rolled omelette with aubergine,sweet potato stem with herbs,napa cabbage kimchi,S_rice cake with bean paste,S_milk (100ml),steamed sweet brown rice,chard soy paste soup,stir-fried chicken breast with three-color paprika,seasoned fuki stem,napa cabbage kimchi
S_banana,#N/A,pork rice bowl with stir-fried vegetables,kimchi soup,S_cheese stick,#N/A,radish kimchi cubes,S_garlic bread,S_milk (100ml),steamed millet rice,dried pollack soup,steamed eggs with vegetables,seasoned herbs with aubergine,radish kimchi cubes
S_kiwi,S_milk (200ml),steamed rice with black beans,tofu soy paste soup,stir-fried quail eggs and broccoli,seasoned salad with bellflower root,napa cabbage kimchi,S_deep-fried chicken nuggets,S_barley tea,steamed millet rice,potato seaweed soup,braised pork roll with rice cake,seasoned dried radish leaves,napa cabbage kimchi
S_Korean melon,S_milk (200ml),steamed sweet millet rice,zucchini soup,barbequed beef,seasoned napa cabbage,radish kimchi cubes,S_pan-fried lotus root,S_barley tea,steamed black rice,bean sprout soup,grilled tofu in marinade sauce,stir-fried bacon and broccoli,radish kimchi cubes
S_milk (200ml),#N/A,stir-fried rice with cuttlefish in oyster sauce,miso paste soup,mini-mandu (dumpling),#N/A,radish kimchi cubes,S_croissant,S_barley tea,#N/A,#N/A,#N/A,#N/A,#N/A
S_melon,S_milk (200ml),steamed mung bean rice,tuna kimchi stew,scrambled eggs,seasoned salad with spring parsley,radish kimchi cubes,S_surichui rice cake,S_barley tea,steamed white rice,napa cabbage perilla seed soup,braised beef in soy sauce,seasoned zucchini,radish kimchi cubes
S_veggie porridge,#N/A,steamed black rice,spicy fried fish paste soup,braised chicken and beef in soy sauce,summer radish,napa cabbage kimchi,S_bread roll,S_milk (100ml),steamed sweet millet rice,zucchini leaf soy paste soup,stir-fried pork in teriyaki sauce,seasoned thistle,napa cabbage kimchi
S_cereal,S_milk (200ml),beef bean sprout rice + marinade sauce,spinach soy paste soup,seasoned salad with broccoli in vinegar marinade,#N/A,napa cabbage kimchi,S_soft tofu + marinade sauce,S_barley tea,steamed sweet brown rice,mushroom stew,grilled Atka mackerel in yuzu marinade,fresh kimchi with lettuce,radish kimchi cubes
S_Korean melon,S_milk (200ml),steamed white rice,bokchoy soup,steamed halibut in marinade sauce,seasoned oyster mushroom,radish kimchi cubes,S_cream sauce spaghetti,S_barley tea,steamed millet rice,curled mallow soy paste soup,stir-fried beef and rice cake,seasoned daikon,napa cabbage kimchi
S_watermelon,S_milk (200ml),steamed millet rice,soft tofu soup (mild flavor),stir-fried pork,seasoned salad with chicory and apple,napa cabbage kimchi,S_seasoned salad with acorn jelly,S_barley tea,steamed millet rice,cold cucumber soup,stir-fried chicken breast in curry,seasoned bokchoy,radish kimchi cubes
S_milk (200ml),#N/A,chilled bean soup + noodles,pan-fried seafood and spring onion,#N/A,S_tomato,napa cabbage kimchi,S_honey-filled rice cake,S_barley tea,#N/A,#N/A,#N/A,#N/A,#N/A
S_peach,S_milk (200ml),steamed white rice,chive shrimp soup,stir-fried pork and pineapple,seasoned salad with red-pepper leaf in soy paste,radish kimchi cubes,S_anchovy rice ball,S_barley tea,steamed sweet brown rice,cuttlefish soup,grilled tofu + marinade sauce,seasoned salad with lotus root and perilla seed,napa cabbage kimchi
S_broccoli porridge,#N/A,steamed millet rice,mild chicken stew,braised meat ball,seasoned winter celery,napa cabbage kimchi,S_grilled corn with butter,S_milk (100ml),steamed millet rice,red chilli paste stew with pork,stir-fried shrimp and vegetables,fresh kimchi with chive,radish kimchi cubes
S_banana,#N/A,deluxe rice with sweet pumpkin,winter mushroom soy paste soup,pan-fried shrimp and tofu,#N/A,napa cabbage kimchi,S_soboro bun (streusel-like crusted bread),S_milk (100ml),steamed white rice,dried radish leaf soy paste soup,braised spicy chicken,seasoned salad with winter celery in vinegar marinade,napa cabbage kimchi
S_tomato,S_milk (200ml),steamed rice with black beans,persimmon pine nut soup,steamed beef rib,seasoned herbs with aubergine,napa cabbage kimchi,S_macaroni and vegetables salad,S_barley tea,steamed black rice,tofu soup,stir-fried fried fish paste,seasoned salad with winter cabbage,radish kimchi cubes
S_Korean melon,S_milk (200ml),steamed sweet millet rice,egg soup,stir-fried pork and bokchoy,mung bean jelly salad,radish kimchi cubes,S_steamed rice cake,S_barley tea,steamed millet rice,kimchi stew,braised beef and potato,seasoned salad with grilled aubergine,radish kimchi cubes
S_milk (200ml),#N/A,soy paste rice bowl with soft tofu,bean sprout soup,deep-fried shrimp,#N/A,napa cabbage kimchi,S_French toast,S_barley tea,#N/A,#N/A,#N/A,#N/A,#N/A
S_banana,#N/A,steamed white rice,beef seaweed soup,rolled omelette with cheese,seasoned perilla leaf,napa cabbage kimchi,S_cake,S_milk (100ml),#N/A,#N/A,#N/A,#N/A,#N/A
S_beef porridge,#N/A,steamed sweet brown rice,bokchoy soy paste soup,grilled mackerel,pigweed,radish kimchi cubes,S_rainbow rice cake,S_barley tea,steamed black rice,mushroom soup,stir-fried chicken breast and winter celery,seasoned cabbage,radish kimchi cubes
S_milk (200ml),#N/A,chicken-mayo rice bowl,tofu soy paste soup,#N/A,S_orange,napa cabbage kimchi,S_cream bun,S_barley tea,#N/A,#N/A,#N/A,#N/A,#N/A
S_corn porridge,#N/A,steamed millet rice,red chilli paste stew with potato,stir-fried pork and aubergine,seasoned perilla leaf,napa cabbage kimchi,S_soy-based mixed noodles,S_barley tea,steamed rice with black beans,shrimp soup,braised mackerel,seasoned salad with pigweed in soy paste,napa cabbage kimchi
S_kimchi cheese  porridge,#N/A,steamed sweet millet rice,seaweed soup,stir-fried beef and paprika,sensoned red-pepper leaf,napa cabbage kimchi,S_sweet pumpkin salad,S_milk (100ml),steamed sweet brown rice,cold aubergine soup,roasted pork,braised mini-potato,radish kimchi cubes
S_mung bean porridge,#N/A,Bibimbap with barley rice and summer radish,fried tofu soy paste soup,fried eggs,#N/A,napa cabbage kimchi,S_pan-fried meat dumpling,S_barley tea,steamed white rice,beef soup,stir-fried sausage and vegetables,seasoned salad with seaweed in vinegar marinade,napa cabbage kimchi
S_chicken porridge,#N/A,steamed black rice,curled mallow soy paste soup,grilled Spanish mackerel in curry,seasoned salad with lotus root in black sesame sauce,napa cabbage kimchi,S_milk bread roll,S_barley tea,steamed millet rice,summer radish soy paste soup,stir-fried spicy pork,lettuce-wraps,radish kimchi cubes
S_oatmeal porridge,#N/A,steamed millet rice,clam soup,grilled tofu with sweet rice powder,seasoned salad with cucumber and soft crab,napa cabbage kimchi,S_steamed sweet potato,S_barley tea,steamed sweet millet rice,soy puree stew,steamed Spanish mackerel in marinade sauce,braised lotus root,radish kimchi cubes
S_milk (200ml),#N/A,hashed rice,egg spring onion soup,chicken nuggets + mustard,#N/A,napa cabbage kimchi,S_pounded rice cake,S_barley tea,#N/A,#N/A,#N/A,#N/A,#N/A
S_shrimp porridge,#N/A,steamed black rice,summer radish soy paste soup,stir-fried chicken breast and vegetables,seasoned fuki stem and perilla seed,napa cabbage kimchi,S_rice ball with seaweed flakes,S_barley tea,steamed white rice,tofu stew,steamed beef with sweet pumpkin,seasoned salad with cucumber,napa cabbage kimchi
S_soft crab porridge,#N/A,steamed millet rice,daikon soup,rolled omelette with aubergine,sweet potato stem with herbs,napa cabbage kimchi,S_rice cake with bean paste,S_milk (100ml),steamed sweet brown rice,chard soy paste soup,stir-fried chicken breast with three-color paprika,seasoned fuki stem,napa cabbage kimchi
S_Pyogo mushroom porridge,#N/A,pork rice bowl with stir-fried vegetables,kimchi soup,S_cheese stick,#N/A,radish kimchi cubes,S_garlic bread,S_milk (100ml),steamed millet rice,dried pollack soup,steamed eggs with vegetables,seasoned herbs with aubergine,radish kimchi cubes
S_seaweed beef porridge,#N/A,steamed rice with black beans,tofu soy paste soup,stir-fried quail eggs and broccoli,seasoned salad with bellflower root,napa cabbage kimchi,S_deep-fried chicken nuggets,S_barley tea,steamed millet rice,potato seaweed soup,braised pork roll with rice cake,seasoned dried radish leaves,napa cabbage kimchi
S_bean sprout porridge,#N/A,steamed sweet millet rice,zucchini soup,barbequed beef,seasoned napa cabbage,radish kimchi cubes,S_pan-fried lotus root,S_barley tea,steamed black rice,bean sprout soup,grilled tofu in marinade sauce,stir-fried bacon and broccoli,radish kimchi cubes
S_milk (200ml),#N/A,stir-fried rice with cuttlefish in oyster sauce,miso paste soup,mini-mandu (dumpling),#N/A,radish kimchi cubes,S_croissant,S_barley tea,#N/A,#N/A,#N/A,#N/A,#N/A
S_chard soy paste porridge,#N/A,steamed mung bean rice,tuna kimchi stew,scrambled eggs,seasoned salad with spring parsley,radish kimchi cubes,S_surichui rice cake,S_barley tea,steamed white rice,napa cabbage perilla seed soup,braised beef in soy sauce,seasoned zucchini,radish kimchi cubes
S_veggie porridge,#N/A,steamed black rice,spicy fried fish paste soup,braised chicken and beef in soy sauce,summer radish,napa cabbage kimchi,S_bread roll,S_milk (100ml),steamed sweet millet rice,zucchini leaf soy paste soup,stir-fried pork in teriyaki sauce,seasoned thistle,napa cabbage kimchi
S_dried pollack porridge,#N/A,beef bean sprout rice + marinade sauce,spinach soy paste soup,seasoned salad with broccoli in vinegar marinade,#N/A,napa cabbage kimchi,S_soft tofu + marinade sauce,S_barley tea,steamed sweet brown rice,mushroom stew,grilled Atka mackerel in yuzu marinade,fresh kimchi with lettuce,radish kimchi cubes
S_egg chive porridge,#N/A,steamed white rice,bokchoy soup,steamed halibut in marinade sauce,seasoned oyster mushroom,radish kimchi cubes,S_cream sauce spaghetti,S_barley tea,steamed millet rice,curled mallow soy paste soup,stir-fried beef and rice cake,seasoned daikon,napa cabbage kimchi
S_sweet pumpkin porridge,#N/A,steamed millet rice,soft tofu soup (mild flavor),stir-fried pork,seasoned salad with chicory and apple,napa cabbage kimchi,S_seasoned salad with acorn jelly,S_barley tea,steamed millet rice,cold cucumber soup,stir-fried chicken breast in curry,seasoned bokchoy,radish kimchi cubes
S_milk (200ml),#N/A,chilled bean soup + noodles,pan-fried seafood and spring onion,#N/A,S_tomato,napa cabbage kimchi,S_honey-filled rice cake,S_barley tea,#N/A,#N/A,#N/A,#N/A,#N/A
