Breakfast1,Breakfast2,Breakfast3,Breakfast4,Breakfast5,Morning Snack1,Morning Snack2,Lunch1,Lunch2,Lunch3,Lunch4,Lunch5,Afternoon Snack1,Afternoon Snack2,Dinner1,Dinner2,Dinner3,Dinner4,Dinner5,Score
beef rice ball with seaweed flakes,dried cabbage leaf soup,seasoned winter mushroom,seasoned salad with aubergine,whole radish kimchi,S_carrot soup,S_rice-based beverage,steamed brown sweet rice,noodles in fish soup,stir-fried spicy jukkumi,seasoned salad with deodeok and apple,radish watery kimchi,S_soft tofu salad (oriental dressing),S_homestyle banana milk,steamed pearl barley rice (30),mandu (dumpling) chicken stew,steamed fish and zucchini,pan-fried mung bean and kimchi,radish kimchi cubes,4
beef rice ball with seaweed flakes,dried bonito soy paste soup,scrambled eggs with spinach,empty,whole radish kimchi,S_orange,S_black sesame soy milk (100ml),steamed brown sweet rice,daikon soup,stir-fried spicy jukkumi,seasoned salad with deodeok and apple,radish watery kimchi,S_soft tofu salad (oriental dressing),S_homestyle banana milk,steamed pearl barley rice,mandu (dumpling) chicken stew,steamed fish and zucchini,seasoned salad with aubergine,radish kimchi cubes,5
steamed white rice (add),zucchini soup,sweet potato mash with nuts,seasoned salad with sweet potato stem in soy paste,cucumber kimchi,S_tomato juice,S_raisin potato bowl,steamed chestnut bean rice (30),oyster mushroom soup,seasoned salad with bellflower root,braised chicken in teriyaki sauce,pickled cucumber,S_homestyle blueberry milk,empty,stir-fried rice with beef in oyster sauce,mandu (dumpling) soup,braised burdock slices and konjac,empty,pickled beet,1
steamed white rice (add),oyster mushroom soup,empty,seasoned salad with sweet potato stem in soy paste,cucumber kimchi,empty,S_tomato juice,stir-fried rice with beef in oyster sauce,zucchini soup,sweet potato mash with nuts,braised burdock slices and konjac,pickled cucumber,S_raisin potato bowl,S_homestyle blueberry milk,steamed chestnut bean rice (30),mandu (dumpling) soup,braised chicken in teriyaki sauce,seasoned salad with bellflower root,pickled beet,3
steamed white rice (30),oyster mushroom soup,scrambled eggs with shrimp,seasoned salad with sweet potato stem in soy paste,cucumber kimchi,empty,S_homestyle blueberry milk,stir-fried rice with beef in oyster sauce,winter mushroom soy paste soup,sweet potato salad,braised burdock slices and konjac,pickled cucumber,empty,S_tomato juice,steamed chestnut bean rice,mandu (dumpling) soup,braised chicken in teriyaki sauce,seasoned salad with bellflower root,pickled beet,5
steamed white rice,mandu (dumpling) soup,stir-fried tofu and vegetables in oyster sauce,stir-fried zucchini,radish watery kimchi,S_homestyle banana milk,S_sesame milk soup,steamed pearl barley rice (30),zucchini tofu soy paste soup,seasoned salad with spicy bean sprout,lotus root and black sesame salad,radish kimchi cubes,S_soft tofu salad (oriental dressing),S_rice-based beverage,steamed rice,Pyogo mushroom soup,seasoned salad with aubergine,seasoned salad with deodeok and apple,whole radish kimchi,1
steamed pearl barley rice (30),mandu (dumpling) soup,seasoned salad with aubergine,lotus root and black sesame salad,radish watery kimchi,S_sesame milk soup,S_rice-based beverage,steamed white rice,Pyogo mushroom soup,seasoned salad with deodeok and apple,stir-fried zucchini,radish kimchi cubes,S_soft tofu salad (oriental dressing),S_homestyle banana milk,steamed rice,zucchini tofu soy paste soup,stir-fried tofu and vegetables in oyster sauce,seasoned salad with spicy bean sprout,whole radish kimchi,3
steamed pearl barley rice (40),Maesaengyi soup,grilled tofu in teriyaki sauce,seasoned salad with lettuce and acorn jelly,radish watery kimchi,S_sesame milk soup,S_lemon juice,steamed white rice,Pyogo mushroom soup,braised chicken in curry,seasoned salad with deodeok and apple,radish kimchi cubes,cucumber stick,S_homestyle banana milk,steamed rice,zucchini tofu soy paste soup,seasoned salad with cold smoked duck,seasoned salad with spicy bean sprout,whole radish kimchi,5
paprika rice ball with fried tofu,tofu clam soup,roasted aubergine,dried radish,radish watery kimchi,S_milk (100ml),S_raisin potato bowl,steamed pearl barley rice,kimchi tofu soup,stir-fried pork and kimchi,stir-fried spicy jukkumi,summer radish watery kimchi,S_cuttlefish veggie porridge,S_sweet pumpkin rice punch,steamed chestnut bean rice (40),mandu (dumpling) chicken stew,seasoned winter mushroom,empty,pickled daikon,1
steamed chestnut bean rice (40),tofu clam soup,stir-fried pork and kimchi,dried radish,radish watery kimchi,S_cuttlefish veggie porridge,S_milk (100ml),paprika rice ball with fried tofu,kimchi tofu soup,roasted aubergine,empty,pickled daikon,S_raisin potato bowl,S_sweet pumpkin rice punch,steamed pearl barley rice,mandu (dumpling) chicken stew,stir-fried spicy jukkumi,seasoned winter mushroom,summer radish watery kimchi,4
steamed chestnut bean rice (40),tofu clam soup,stir-fried pork and kimchi,seasoned seaweed,radish watery kimchi,S_pear,S_milk (200ml),paprika rice ball with fried tofu,spring onion soy paste soup,spinach frittata,empty,pickled daikon,empty,S_sweet pumpkin rice punch,steamed pearl barley rice,mandu (dumpling) chicken stew,stir-fried spicy jukkumi,seasoned winter mushroom,summer radish watery kimchi,5
stir-fried rice with cheese and vegetables,soft tofu soup (mild flavor),roasted potato with butter,deep-fried seaweed,radish kimchi cubes,S_milk with misugaru (mixed grain powder),S_rice-based beverage,steamed black rice (40),potato soup,stir-fried jukkumi and,seasoned salad with chwinamul in soy paste,cucumber kimchi,S_soft tofu salad (oriental dressing),S_carrot soup,steamed white bean rice,wild chive soy paste soup,stir-fried zucchini,braised pork in ketchup,whole radish kimchi,1
steamed black rice (40),potato soup,braised pork in ketchup,stir-fried zucchini,whole radish kimchi,S_carrot soup,S_milk with misugaru (mixed grain powder),steamed white bean rice,wild chive soy paste soup,stir-fried jukkumi and,deep-fried seaweed,cucumber kimchi,S_soft tofu salad (oriental dressing),S_rice-based beverage,stir-fried rice with cheese and vegetables,soft tofu soup (mild flavor),roasted potato with butter,seasoned salad with chwinamul in soy paste,radish kimchi cubes,5
steamed black rice (40),potato soup,braised pork in ketchup,stir-fried zucchini,whole radish kimchi,S_carrot soup,S_milk with misugaru (mixed grain powder),steamed white bean rice,wild chive soy paste soup,stir-fried jukkumi and,deep-fried seaweed,cucumber kimchi,empty,S_rice-based beverage,stir-fried rice with cheese and vegetables,soft tofu soup (mild flavor),roasted potato with butter,seasoned salad with chwinamul in soy paste,radish kimchi cubes,5
steamed chestnut red bean sweet rice (30),bean sprout soup,braised mini-potato,seasoned salad with winter cabbage,summer radish watery kimchi,S_sweet pumpkin rice punch,S_banana shake,steamed black rice (add),tofu persimmon pine nut soup,braised beef and tomato,seasoned salad with bokchoy in vinegar marinade,mustard leaf kimchi,S_tangerine (50g),S_egg porridge,curried rice with beef,assorted mushroom soup,stir-fried shrimp in cream sauce,chicken salad (mustard sauce),sweet radish kimchi,1
steamed chestnut red bean sweet rice (30),tofu persimmon pine nut soup,braised mini-potato,chicken salad (mustard sauce),mustard leaf kimchi,S_egg porridge,S_sweet pumpkin rice punch,steamed black rice (add),assorted mushroom soup,braised beef and tomato,seasoned salad with bokchoy in vinegar marinade,summer radish watery kimchi,S_tangerine (50g),S_banana shake,curried rice with beef,bean sprout soup,stir-fried shrimp in cream sauce,seasoned salad with winter cabbage,sweet radish kimchi,3
steamed chestnut red bean sweet rice (40),tofu persimmon pine nut soup,braised mini-potato,chicken salad (mustard sauce),sweet napa cabbage watery kimchi,S_kyoho grape,S_sweet pumpkin rice punch,steamed black rice,assorted mushroom soup,braised beef and tomato,seasoned salad with bokchoy in vinegar marinade,summer radish watery kimchi,S_tangerine (50g),S_banana shake,curried rice with beef,bean sprout soup,stir-fried shrimp in cream sauce,seasoned salad with winter cabbage,sweet radish kimchi,5
steamed sweet potato rice (30),oyster mushroom soup,vegetables croquette,stir-fried dried shrimp and zucchini,radish kimchi cubes,S_homestyle banana milk,S_rice-based beverage,steamed rice with black beans,mandu (dumpling) soup,stir-fried zucchini and dried shrimp,seasoned salad with sweet potato stem in soy paste,radish watery kimchi,S_soft tofu salad (oriental dressing),empty,rice bowl with beef and aubergine,mini-ball rice cake seaweed soup,seasoned oyster mushroom,empty,whole radish kimchi,1
steamed sweet potato rice (30),mini-ball rice cake seaweed soup,stir-fried dried shrimp and zucchini,seasoned salad with sweet potato stem in soy paste,radish kimchi cubes,empty,S_homestyle banana milk,rice bowl with beef and aubergine,oyster mushroom soup,vegetables croquette,stir-fried zucchini and dried shrimp,radish watery kimchi,S_soft tofu salad (oriental dressing),S_rice-based beverage,steamed rice with black beans,mandu (dumpling) soup,empty,seasoned oyster mushroom,whole radish kimchi,2
steamed sweet potato rice (40),mini-ball rice cake seaweed soup,stir-fried dried shrimp and zucchini,seasoned salad with sweet potato stem in soy paste,radish kimchi cubes,S_apple,S_yoghurt (100ml),rice bowl with beef and aubergine,potato soup,vegetables croquette,sprout salad,radish watery kimchi,S_banana,S_walnut milk,steamed rice with black beans,mandu (dumpling) soup,steamed chicken tenderloin and zucchini,seasoned oyster mushroom,whole radish kimchi,5
Japanese beef rice bowl (gyudon),seaweed potato soup,spicy stir-fried octopus and vegetables,braised meat ball and paprika,pickled cucumber,S_raisin potato bowl,S_sweet pumpkin rice punch,steamed sweet rice (add),mini-udon (white wheat noodles) with fried tofu,tomato cheese salad,steamed fish and zucchini,pickled beet,S_Yakult,S_noodles in soy soup,steamed red bean rice (30),mushroom soup,seasoned bellflower root and perilla seed,braised chicken in teriyaki sauce,cucumber kimchi,1
steamed red bean rice (30),seaweed potato soup,braised chicken in teriyaki sauce,tomato cheese salad,pickled beet,S_raisin potato bowl,S_sweet pumpkin rice punch,steamed sweet rice (add),mushroom soup,spicy stir-fried octopus and vegetables,seasoned bellflower root and perilla seed,cucumber kimchi,S_noodles in soy soup,S_Yakult,Japanese beef rice bowl (gyudon),mini-udon (white wheat noodles) with fried tofu,braised meat ball and paprika,steamed fish and zucchini,pickled cucumber,5
steamed red bean rice (30),seaweed potato soup,braised chicken in teriyaki sauce,tomato cheese salad,pickled beet,S_cheese,S_sweet pumpkin rice punch,steamed sweet rice,mushroom soup,spicy stir-fried octopus and vegetables,seasoned salad with mini-Saesongyi mushroom,cucumber kimchi,empty,S_peach walnut smoothie,Japanese beef rice bowl (gyudon),mini-udon (white wheat noodles) with fried tofu,braised meat ball and paprika,seasoned salad with apple and winter celery,pickled beet,5
steamed corn rice,zucchini soup,seasoned salad with aubergine in marinade sauce,braised anchovy and sweet napa cabbage,radish watery kimchi,S_rice-based beverage,S_soft tofu salad (oriental dressing),steamed sweet brown rice (30),mandu (dumpling) chicken stew,braised burdock slices and konjac,vegetables croquette,radish kimchi cubes,S_milk (100ml),S_beef burdock porridge,curried rice with chicken and potato + marinade sauce,tofu stew,seasoned salad with bellflower root,seasoned winter mushroom and chive,whole radish kimchi,1
steamed sweet brown rice (30),mandu (dumpling) chicken stew,braised anchovy and sweet napa cabbage,seasoned salad with aubergine in marinade sauce,radish watery kimchi,S_beef burdock porridge,S_milk (100ml),curried rice with chicken and potato + marinade sauce,zucchini soup,vegetables croquette,braised burdock slices and konjac,radish kimchi cubes,S_soft tofu salad (oriental dressing),S_rice-based beverage,steamed corn rice,tofu stew,seasoned salad with bellflower root,seasoned winter mushroom and chive,whole radish kimchi,2
steamed sweet brown rice,short rib beef soup,braised anchovy and sweet napa cabbage,seasoned salad with aubergine in marinade sauce,radish kimchi cubes,empty,S_milk (100ml),curried rice with chicken and potato + marinade sauce,zucchini soup,deep-fried vegetables with corn,paprika stick,radish kimchi cubes,S_Omija ice cream,S_honey-filled fried pancake,steamed corn rice,tofu stew,grilled Spanish mackerel,seasoned winter mushroom and chive,whole radish kimchi,5
steamed white bean rice (30),mugwort meat dumpling soup,braised chicken in curry,pan-fried mung bean,spring onion kimchi,S_Korean melon salad,S_milk (200ml),steamed mung bean rice,onion soup,stir-fried zucchini and onion,stir-fried zucchini,summer radish kimchi,S_barley tea,S_pak choi porridge,veggie rice ball,sweet rice dough soup,stir-fried chicken in soy sauce without bones,dried radish,pickled daikon,1
steamed white bean rice (30),mugwort meat dumpling soup,stir-fried chicken in soy sauce without bones,stir-fried zucchini,spring onion kimchi,S_pak choi porridge,S_barley tea,veggie rice ball,onion soup,pan-fried mung bean,stir-fried zucchini and onion,pickled daikon,S_Korean melon salad,S_milk (200ml),steamed mung bean rice,sweet rice dough soup,braised chicken in curry,dried radish,summer radish kimchi,5
steamed white bean rice (40),mugwort meat dumpling soup,stir-fried chicken in soy sauce without bones,stir-fried zucchini,spring onion kimchi,S_strawberry,S_milk (200ml),veggie rice ball,onion soup,pan-fried mung bean,stir-fried zucchini and onion,pickled daikon,S_Korean melon salad,S_barley tea,steamed mung bean rice,sweet rice dough soup,braised chicken in curry,dried radish,summer radish kimchi,5
steamed sweet rice (add),oyster mushroom soup,seasoned salad with aubergine,steamed aubergine in marinade sauce,pickled beet,S_milk (100ml),S_sesame milk soup,stir-fried rice with beef in oyster sauce,mandu (dumpling) soup,braised burdock slices and konjac,vegetables croquette,radish watery kimchi,S_tomato juice,S_soft tofu salad (oriental dressing),steamed red bean rice (30),soft crab soup,stir-fried zucchini and dried shrimp,empty,whole radish kimchi,1
steamed sweet rice (add),oyster mushroom soup,empty,seasoned salad with aubergine,whole radish kimchi,S_sesame milk soup,S_tomato juice,steamed red bean rice (30),mandu (dumpling) soup,vegetables croquette,steamed aubergine in marinade sauce,radish watery kimchi,S_soft tofu salad (oriental dressing),S_milk (100ml),stir-fried rice with beef in oyster sauce,soft crab soup,braised burdock slices and konjac,stir-fried zucchini and dried shrimp,pickled beet,4
steamed sweet rice,oyster mushroom soup,stir-fried tuna and vegetables,seasoned salad with aubergine,white kimchi,empty,S_tomato juice,steamed red bean rice,mandu (dumpling) soup,braised chicken and sweet potato,steamed aubergine in marinade sauce,radish watery kimchi,S_potato salad,S_milk (100ml),stir-fried rice with beef in oyster sauce,broccoli soup,deep-fried shrimp,stir-fried zucchini and dried shrimp,pickled beet,5
curried rice with chicken and potato + marinade sauce,freshwater snail soy paste soup,stir-fried dried shrimp and zucchini,seasoned oyster mushroom,summer radish watery kimchi,S_rice-based beverage,S_tofu vegetable porridge,steamed millet rice (30),chicken stew,barbequed pork belly and cuttlefish (mild flavor),seasoned bellflower root,cucumber kimchi,S_raisin potato bowl,S_peach walnut smoothie,steamed chestnut bean rice,zucchini salted shrimp soup,seasoned salad with sweet potato stem in soy paste,seasoned salad with dried cuttlefish and dried radish,radish kimchi cubes,1
steamed millet rice (30),freshwater snail soy paste soup,stir-fried dried shrimp and zucchini,seasoned salad with sweet potato stem in soy paste,cucumber kimchi,S_tofu vegetable porridge,S_rice-based beverage,steamed chestnut bean rice,chicken stew,barbequed pork belly and cuttlefish (mild flavor),seasoned bellflower root,summer radish watery kimchi,S_raisin potato bowl,S_peach walnut smoothie,curried rice with chicken and potato + marinade sauce,zucchini salted shrimp soup,seasoned oyster mushroom,seasoned salad with dried cuttlefish and dried radish,radish kimchi cubes,3
steamed millet rice,freshwater snail soy paste soup,rolled omelette with vegetables,tomato mash,cucumber kimchi,S_melon,S_black soybean milk (150ml),steamed chestnut bean rice,chicken stew,barbequed pork belly and cuttlefish (mild flavor),seasoned bellflower root,summer radish watery kimchi,empty,S_yoghurt (100ml),curried rice with chicken and potato + marinade sauce,empty,seasoned salad with green bean sprout and salted seaweed powder,seasoned salad with dried cuttlefish and dried radish,radish kimchi cubes,5
steamed red bean rice (30),noodles in fish soup,seasoned winter mushroom,vegetables croquette,pickled beet,S_milk (100ml),S_beef burdock porridge,steamed sweet rice (add),red bean porridge,seasoned winter mushroom and chive,braised burdock slices and konjac,whole radish kimchi,S_tomato juice,S_soft tofu salad (oriental dressing),shrimp cream spaghetti,empty,stir-fried zucchini and dried shrimp,empty,radish watery kimchi,1
steamed sweet rice (add),red bean porridge,empty,braised burdock slices and konjac,radish watery kimchi,S_beef burdock porridge,S_milk (100ml),steamed red bean rice (30),noodles in fish soup,stir-fried zucchini and dried shrimp,seasoned winter mushroom and chive,whole radish kimchi,S_soft tofu salad (oriental dressing),S_tomato juice,shrimp cream spaghetti,empty,vegetables croquette,seasoned winter mushroom,pickled beet,2
steamed sweet rice (add),red bean porridge,braised eggs in soy sauce,sedum and black sesame salad,radish watery kimchi,S_sweet persimmon,S_soy milk (100ml),steamed red bean rice,noodles in fish soup,roasted smoked duck and stir-fried vegetables,seasoned winter mushroom and chive,whole radish kimchi,empty,S_cherry tomato,shrimp cream spaghetti,empty,deep-fried onion,cabbage salad (strawberry dressing),pickled beet,5
steamed sweet brown rice (30),mussel daikon soup,seasoned oyster mushroom,seasoned salad with broccoli shrimp and sesame,cucumber kimchi,S_sweet pumpkin rice punch,S_peach walnut smoothie,Japanese beef rice bowl (gyudon),mini-udon (white wheat noodles) with fried tofu,roasted potato with butter,seasoned salad with shepherd's purse,radish watery kimchi,S_cream sauce spaghetti,S_Korean melon salad,steamed chestnut bean rice,zucchini salted shrimp soup or stew,seasoned salad with sweet potato stem in soy paste,barbequed pork belly and cuttlefish (mild flavor),summer radish watery kimchi,1
steamed sweet brown rice (30),mussel daikon soup,seasoned oyster mushroom,seasoned salad with broccoli shrimp and sesame,cucumber kimchi,S_Korean melon salad,S_sweet pumpkin rice punch,Japanese beef rice bowl (gyudon),mini-udon (white wheat noodles) with fried tofu,roasted potato with butter,seasoned salad with shepherd's purse,radish watery kimchi,S_cream sauce spaghetti,S_peach walnut smoothie,steamed chestnut bean rice,zucchini salted shrimp soup or stew,barbequed pork belly and cuttlefish (mild flavor),seasoned salad with sweet potato stem in soy paste,summer radish watery kimchi,3
steamed sweet brown rice (40),mussel daikon soup,seasoned oyster mushroom,seasoned salad with broccoli shrimp and sesame,cucumber kimchi,S_Korean melon salad,S_sweet pumpkin rice punch,Japanese beef rice bowl (gyudon),mini-udon (white wheat noodles) with fried tofu,roasted potato with butter,seasoned salad with shepherd's purse,radish watery kimchi,S_fried-egg toast,S_peach walnut smoothie,steamed chestnut bean rice (40),zucchini salted shrimp soup or stew,barbequed pork belly and cuttlefish (mild flavor),seasoned salad with sweet potato stem in soy paste,summer radish watery kimchi,5
steamed sweet rice,konjac fried fish paste soup,stir-fried jukkumi and vegetables in soy sauce,stir-fried tofu and vegetables in oyster sauce,summer radish kimchi,S_homestyle banana milk,S_rice punch,shrimp mushroom rice bowl,mandu (dumpling) chicken stew,cabbage wraps,empty,whole radish kimchi,S_potato yoghurt salad,S_tofu vegetable porridge,steamed corn rice (30),veggie soup,steamed aubergine in marinade sauce,empty,radish kimchi cubes,1
steamed corn rice (30),konjac fried fish paste soup,stir-fried tofu and vegetables in oyster sauce,empty,summer radish kimchi,S_tofu vegetable porridge,S_rice punch,shrimp mushroom rice bowl,veggie soup,empty,steamed aubergine in marinade sauce,radish kimchi cubes,S_potato yoghurt salad,S_homestyle banana milk,steamed sweet rice,mandu (dumpling) chicken stew,stir-fried jukkumi and vegetables in soy sauce,cabbage wraps,whole radish kimchi,3
steamed corn rice,konjac fried fish paste soup,stir-fried tuna and zucchini,seasoned salad with curled mallow,summer radish kimchi,empty,S_rice punch,shrimp mushroom rice bowl,veggie soup,deep-fried glass noodles in seaweed,cucumber and tomato salad (balsamic vinegar dressing),white kimchi,S_fruit salad,S_homestyle banana milk,steamed sweet rice,mushroom beef soup,stir-fried jukkumi and vegetables in soy sauce,cabbage wraps,whole radish kimchi,5
steamed chestnut bean rice (30),mushroom stew,seasoned zucchini,seasoned salad with sweet potato stem in soy paste,pickled beet,S_raisin potato bowl,S_Solomon's seal tea,steamed pearl barley rice,fried tofu spring onion  soup,braised potato and fried fish paste,seasoned salad with dried cuttlefish and dried radish,summer radish watery kimchi,S_sesame milk soup,S_sweet potato shake,pork cabbage rice bowl,oyster mushroom soup,stir-fried zucchini,empty,radish watery kimchi,1
steamed chestnut bean rice (30),oyster mushroom soup,braised potato and fried fish paste,seasoned salad with sweet potato stem in soy paste,summer radish watery kimchi,S_sesame milk soup,S_Solomon's seal tea,pork cabbage rice bowl,fried tofu spring onion  soup,seasoned salad with dried cuttlefish and dried radish,seasoned zucchini,radish watery kimchi,S_raisin potato bowl,S_sweet potato shake,steamed pearl barley rice,mushroom stew,empty,stir-fried zucchini,pickled beet,2
steamed chestnut bean rice,oyster mushroom soup,braised tofu and fried fish paste,seasoned salad with sweet potato stem in soy paste,summer radish watery kimchi,S_sesame milk soup,empty,curried rice with sweet pumpkin,fried tofu spring onion  soup,seasoned salad with dried cuttlefish and dried radish,seasoned chive,radish watery kimchi,S_raisin potato bowl,S_Solomon's seal tea,steamed pearl barley rice,mushroom stew,roasted smoked duck,lettuce salad (kiwi dressing),pickled beet,5
stir-fried rice with seafood,mandu (dumpling) chicken stew,stir-fried dried shrimp and zucchini,stir-fried jukkumi and vegetables in soy sauce,radish kimchi cubes,S_rice-based beverage,S_peach walnut smoothie,steamed corn rice (30),oyster mushroom soup,seasoned salad with spicy bean sprout,seasoned oyster mushroom,whole radish kimchi,S_aglio e olio spaghetti,S_potato salad,steamed sweet rice,zucchini soup,braised spicy chicken,steamed aubergine in marinade sauce,summer radish kimchi,1
steamed corn rice (30),zucchini soup,stir-fried jukkumi and vegetables in soy sauce,stir-fried dried shrimp and zucchini,radish kimchi cubes,S_potato salad,S_peach walnut smoothie,steamed sweet rice,mandu (dumpling) chicken stew,braised spicy chicken,seasoned oyster mushroom,whole radish kimchi,S_aglio e olio spaghetti,S_rice-based beverage,stir-fried rice with seafood,oyster mushroom soup,steamed aubergine in marinade sauce,seasoned salad with spicy bean sprout,summer radish kimchi,4
steamed corn rice,zucchini soup,steamed eggs with cheese,stir-fried dried shrimp and zucchini,radish kimchi cubes,S_potato salad,S_mango juice,steamed sweet rice,spicy fried fish paste soup,braised spicy chicken,seasoned oyster mushroom,whole radish kimchi,empty,S_peach walnut smoothie,stir-fried rice with seafood,oyster mushroom soup,(processed) deep-fried mandu (dumpling),seasoned salad with spicy bean sprout,summer radish kimchi,5
steamed sweet rice (add),mandu (dumpling) soup,seasoned salad with bellflower root,seasoned salad with Korean melon and overripe cucumber,pickled beet,S_homestyle banana milk,S_sweet pumpkin rice punch,steamed red bean rice (30),kimchi soup,braised meat ball and paprika,stir-fried anchovy with perilla leaves,cucumber kimchi,S_soft tofu salad (oriental dressing),S_beef burdock porridge,stir-fried rice with broccoli and vegetables,freshwater snail tofu soy paste soup,seasoned salad with shepherd's purse,stir-fried zucchini and dried shrimp,radish watery kimchi,1
steamed sweet rice (add),freshwater snail tofu soy paste soup,seasoned salad with bellflower root,stir-fried anchovy with perilla leaves,cucumber kimchi,S_beef burdock porridge,S_sweet pumpkin rice punch,stir-fried rice with broccoli and vegetables,mandu (dumpling) soup,stir-fried zucchini and dried shrimp,seasoned salad with Korean melon and overripe cucumber,pickled beet,S_soft tofu salad (oriental dressing),S_homestyle banana milk,steamed red bean rice (30),kimchi soup,braised meat ball and paprika,seasoned salad with shepherd's purse,radish watery kimchi,3
steamed sweet rice,freshwater snail tofu soy paste soup,seasoned salad with bellflower root,summer radish,cucumber kimchi,S_blueberry,S_yoghurt (100ml),stir-fried rice with broccoli and vegetables,beef green bean sprout soup,(processed) deep-fried mandu (dumpling),seasoned salad with Korean melon and overripe cucumber,pickled beet,S_soft tofu salad (oriental dressing),S_homestyle banana milk,steamed red bean rice,kimchi soup,braised meat ball and paprika,seasoned salad with shepherd's purse,radish watery kimchi,5
