kor_name,eng_name
S단호박설기,S_sweet pumpkin steamed rice cake
S단호박식혜,S_sweet pumpkin rice punch
S달걀부추빵,S_Korean egg bread with chives
S달걀미나리빵,S_egg bun with water celery
S닭가지볶음밥,S_stir-fried rice with chicken and aubergine
S당근두부스넥,S_carrot and tofu snack
S당근스틱,S_carrot stick
S두부,S_tofu
S연두부,S_tofu pudding
S연두부+양념장,S_soft tofu + marinade sauce
S두유(100ml),S_soy milk (100ml)
S두유(150ml),S_soy milk (150ml)
S두유(200ml),S_soy milk (200ml)
S둥글레차,S_Solomon's seal tea
S딸기,S_strawberry
S딸기쨈식빵,S_strawberry jam bread
S떠먹는요구르트(100ml),S_yoghurt (100ml)
S레몬주스,S_lemon juice
S롤빵,S_bread roll
S마늘빵,S_garlic bread
S마들렌,S_madeleine
S망고주스,S_mango juice
S매실젤리,S_green plum jelly
S매실쥬스,S_green plum juice
S매실주스,S_green plum juice
S매실차,S_green plum tea
S머핀,S_muffin
S멜론,S_melon
S멜론(100g),S_melon (100g)
S멜론(75g),S_melon (75g)
S멜론퓨레,S_melon puree
S쇠고기주먹밥,S_beef rice ball
S닭고기주먹밥,S_chicken rice ball
S멸치주먹밥,S_anchovy rice ball
S모닝빵,S_milk bread roll
S모닝빵+딸기잼,S_milk bread roll + strawberry jam
S무지개떡,S_rainbow rice cake
S무지개떡(40g),S_rainbow rice cake (40g)
S물만두,S_mini-mandu (dumpling)
S미숫가루,S_misugaru (mixed grain powder)
S바나나,S_banana
S바나나(100g),S_banana (100g)
S연두부샐러드(오리엔탈드레싱),S_soft tofu salad (oriental dressing)
S바나나사과키위샐러드,S_banana apple kiwi salad
S바나나쉐이크,S_banana shake
S바나나핫케이크,S_banana pancake
S바람떡,S_Baram rice cake (with bean paste)
S바람떡(40g),S_Baram rice cake (with bean paste) (40g)
S밤설기,S_steamed rice cake with chestnut
S밤설기(40g),S_steamed rice cake with chestnut (40g)
S밤식빵,S_bread with chestnut
S밥새우주먹밥,S_shrimp rice ball
S방울토마토,S_cherry tomato
S방울토마토(70g),S_cherry tomato (70g)
S배,S_pear
S배(100g),S_pear (100g)
S백설기(80g),S_snow white rice cake (80g)
S백설기,S_snow white rice cake
S베지밀,S_Vegemil
S보리떡(40g),S_barley rice cake (40g)
S보리차,S_barley tea
S복숭아,S_peach
S복숭아(60g),S_peach - 60g
S복숭아(천도),S_nectarine
S복숭아(천도)-60g,S_nectarine - 60g
S복숭아(백도),S_peach (white)
S복숭아(백도)-60g,S_peach (white) - 60g
S복숭아(황도),S_peach (yellow)
S복숭아(황도)-60g,S_peach (yellow) - 60g
S복숭아호두스무디,S_peach walnut smoothie
S블루베리,S_blueberry
S블루베리바나나쉐이크,S_blueberry banana shake
S사과,S_apple
S사과(100g),S_apple (100g)
S사과(35g),S_apple (35g)
S사과(75g),S_apple (75g)
S사과샐러드(마요네즈),S_apple salad (mayonnaise)
S삶은감자,S_boiled potato
S삶은계란,S_boiled egg
S삶은고구마,S_boiled sweet potato
S삶은달걀,S_boiled egg
S샌드위치,S_sandwich
S소보로빵,S_soboro bun (streusel-like crusted bread)
S송편,S_half-moon rice cake
S송편(40g),S_half-moon rice cake (40g)
S수리취떡,S_surichui rice cake
S수리취떡(40g),S_surichui rice cake (40g)
S수박,S_watermelon
S수제바나나우유,S_homestyle banana milk
S수제블루베리바나나우유,S_homestyle blueberry banana milk
S수제딸기우유,S_homestyle strawberry milk
S수제블루베리우유,S_homestyle blueberry milk
S크림빵,S_cream bun
S슈크림빵,S_choux pastry
S스크램블드에그,S_scrambled eggs
S치즈스크램블에그,S_scrambled eggs with cheese
S스크램블에그,S_scrambled eggs
S시금치스크램블에그,S_scrambled eggs with spinach
S식빵+딸기잼,S_bread + strawberry jam
S식혜,S_rice punch
S쌀씨리얼,S_rice-based cereal
S쌀음료,S_rice-based beverage
S쑥떡,S_rice cake with mugwort
S쑥떡(40g),S_rice cake with mugwort (40g)
S쑥설기,S_steamed rice cake with mugwort
S쑥설기(40g),S_steamed rice cake with mugwort (40g)
S씨리얼,S_cereal
S아몬드사과도넛,S_almond apple doughnut
S애플파이,S_apple pie
S약과,S_Yakgwa (honey cookie)
S약식,S_Yaksik (sweet rice with jujube)
S오렌지,S_orange
S오렌지(100g),S_orange (100g)
S오렌지주스,S_orange juice
S오렌지주스(무가당),S_orange juice (sugar-free)
S오미자차,S_Omija tea
S오색롤샌드위치,S_five-color roll sandwich
S오이당근스틱,S_cucumber carrot stick
S오이스틱,S_cucumber stick
S크림스프,S_cream soup
S옥수수스프,S_corn soup
S옥수수씨리얼,S_corn cereal
S요구르트,S_Yakult
S안매운김치볶음밥,S_stir-fried rice with kimchi (mild flavor)
S우엉주먹밥,S_burdock rice ball
S우엉채소볶음밥,S_stir-fried rice with burdock and vegetables
S우유(100ml),S_milk (100ml)
S우유(150ml),S_milk (150ml)
S우유(200ml),S_milk (200ml)
S우유미숫가루,S_milk with misugaru (mixed grain powder)
S웨지감자구이,S_roasted potato wedge
S다진유부주먹밥,S_rice ball with chopped fried tofu
S유부초밥,S_rice ball with fried tofu
S유자차,S_yuzu tea
S단호박샐러드,S_sweet pumpkin salad
S단호박샐러드(마요네즈),S_sweet pumpkin salad (mayonnaise)
S고구마샐러드(마요네즈),S_sweet potato salad (mayonnaise)
S으깬견과류고구마샐러드(요거트),S_sweet potato salad with crushed nuts (yoghurt)
S인절미,S_Injeolmi (rice cake coated with bean powder)
S자두,S_plum
S잼샌드위치,S_jam sandwich
S절편,S_pounded rice cake
S절편(40g),S_pounded rice cake (40g)
S주먹밥,S_rice ball
S증편(40g),S_fermented rice cake (40g)
S증편,S_fermented rice cake
S찐감자,S_steamed potato
S군고구마,S_fried sweet potato
S찐고구마,S_steamed sweet potato
S찐고구마(80g),S_steamed sweet potato (80g)
S찐만두,S_steamed mandu (dumpling)
S찐밤,S_steamed chestnut
S찐빵,S_steamed bread
S찐옥수수,S_steamed corn
S옥수수빵,S_corn bread
S버터감자구이,S_fried potato with butter
S옥수수버터구이,S_grilled corn with butter
S참나물유부초밥,S_rice ball with fried tofu and spring parsley
S참외,S_Korean melon
S참외(50g),S_Korean melon (50g)
S참외샐러드,S_Korean melon salad
S시금치견과류주먹밥,S_rice ball with spinach and nuts
S새우주먹밥,S_rice ball with shirimp
S참치주먹밥,S_tuna rice ball
S채소전,S_pan-fried vegetables
S참치채소전,S_pan-fried vegetables with tuna
S도너츠,S_doughnut
S찹쌀도너츠,S_sweet rice doughnut
S채소스크램블에그,S_scrambled eggs with vegetables
S채소찐빵,S_steamed bread with vegetables
S청포도,S_white grape
S충무김밥,S_Choongmoo Gimbap (rice roll)
S치즈,S_cheese
S치즈머핀,S_cheese muffin
S치즈빵,S_cheese bread
S치즈케이크,S_cheese cake
S카스텔라,S_sponge cake
S카카오올리브케익,S_cacao olive cake
S케이크,S_cake
S콩두유,S_soy milk
S크랜베리찹쌀케이크,S_cranberry sweet rice cake
S크로와상,S_croissant
S크로와상(30g),S_croissant (30g)
S크로와상샌드위치,S_croissant sandwich
S키위,S_kiwi
S키위(100g),S_kiwi (100g)
S토마토(100g),S_tomato (100g)
S토마토,S_tomato
S토마토쉐이크,S_tomato shake
S토마토스크램블에그,S_scrambled eggs with tomato
S토마토주스,S_tomato juice
S식빵토스트,S_toasted bread
S토스트,S_toast
S파프리카스틱,S_paprika stick
S파프리카유부초밥,S_paprika rice ball with fried tofu
S포도,S_grape
S포도주스,S_grape juice
S프렌치토스트,S_French toast
S피자빵,S_pizza bread
S미니핫도그,S_mini hot dog
S핫도그,S_hot dog
S호두두부쉐이크,S_walnut tofu shake
S호두우유,S_walnut milk
S후리가케주먹밥,S_furigake rice ball
S가래떡구이,S_grilled rice cake
S흑임자떡,S_black sesame rice cake
S과일샐러드(요거트드레싱),S_fruit salad (yoghurt dressing)
S채소주먹밥,S_veggie rice ball
S김가루주먹밥,S_rice ball with seaweed flakes
S블루베리고구마샐러드,S_blueberry sweet potato salad
S쑥버무리,S_steamed rice cake with mugwort
S참치가지볶음밥,S_stir-fried rice with tuna and aubergine
S치즈주먹밥,S_cheese rice ball
S새우살볶음밥,S_stir-fried rice with shrimp
S김치볶음밥,S_stir-fried rice with kimchi
S새우채소볶음밥,S_stir-fried rice with shrimp and vegetables
S치즈꼬마김밥,S_cheese mini-Gimbap (rice roll)
S감자된장죽,S_potato soy paste porridge
S아욱된장죽,S_curled mallow soy paste porridge
S아욱죽,S_curled mallow porridge
S가지두부죽,S_aubergine tofu porridge
S가지죽,S_aubergine porridge
S감자찹쌀죽,S_potato sweet rice porridge
S감자치즈죽,S_potato cheese porridge
S검은깨죽,S_black sesame porridge
S흑임자죽,S_black sesame porridge
S검정콩두유죽,S_black soy milk porridge
S검은콩죽,S_black soy porridge
S크래미게살죽,S_soft crab porridge
S게맛살죽 ,S_soft crab porridge
S게살죽,S_soft crab porridge
S게살채소스프,S_soft crab veggie soup
S게살치즈죽,S_soft crab cheese porridge
S견과죽,S_nuts porridge
S고구마두부죽,S_sweet potato tofu porridge
S치즈고구마죽,S_cheese sweet potato porridge
S고구마스프,S_sweet potato soup
S고구마죽,S_sweet potato porridge
S고구마청경채죽,S_sweet potato bokchoy porridge
S고구마타락죽,S_sweet potato porridge
S근대죽,S_chard porridge
S근대된장죽,S_chard soy paste porridge
S김가루찹쌀죽,S_sweet rice porridge with seaweed flakes
S김가루채소죽,S_veggie porridge with seaweed flakes
S김치누룽지죽,S_kimchi rice crust porridge
S김치죽,S_kimchi porridge
S김치치즈죽,S_kimchi cheese  porridge
S깨죽,S_sesame porridge
S녹두죽,S_mung bean porridge
S누룽지죽,S_rice crust porridge
S누룽지치즈죽,S_rice crust cheese  porridge
S늙은호박죽,S_pumpkin porridge
S다시마흰살생선죽,S_seaweed white fish porridge
S단팥죽,S_red bean porridge
S단호박죽,S_sweet pumpkin porridge
S달걀당근죽,S_egg carrot porridge
S달걀죽,S_egg porridge
S달걀채소죽,S_egg veggie porridge
S닭가슴살옥수수죽,S_chicken corn porridge
S닭가슴살채소죽,S_chicken veggie porridge
S닭고기흑임자죽,S_chicken black sesame porridge
S닭살가지죽,S_chicken aubergine porridge
S닭살배추죽,S_chicken napa cabbage porridge
S닭살양배추죽,S_chicken cabbage porridge
S닭죽,S_chicken porridge
S당근스프,S_carrot soup
S당근죽,S_carrot porridge
S당근치즈스프,S_carrot cheese soup
S당근치즈죽,S_carrot cheese porridge
S당근타락죽,S_carrot sweet potato porridge
S대두콩죽,S_soybean porridge
S대추우유죽,S_jujube milk porridge
S대추우유스프,S_jujube milk soup
S동태살죽,S_pollack porridge
S돼지고기채소죽,S_pork veggie porridge
S된장취나물죽,S_chwinamul soy paste porridge
S두부들깨죽,S_perilla seed tofu porridge
S들깨누룽지죽,S_perilla seed rice crust porridge
S멸치죽,S_anchovy  porridge
S멸치채소죽,S_anchovy veggie porridge
S명란죽,S_salted pollack roe porridge
S미역죽,S_seaweed porridge
S미역채소죽,S_seaweed veggie porridge
S매생이죽,S_maesaengyi porridge
S밤죽,S_chestnut porridge
S배추달걀죽,S_napa cabbage egg porridge
S배추버섯죽,S_napa cabbage mushroom porridge
S버섯장국죽,S_mushroom soy paste porridge
S버섯죽,S_mushroom porridge
S버섯채소죽,S_mushroom veggie porridge
S버섯치즈죽,S_mushroom cheese porridge
S볶음현미죽,S_stir-fried brown rice porridge
S부추죽,S_chive porridge
S부추타락죽,S_chive sweet potato porridge
S부추닭죽,S_chive chicken porridge
S북어채소죽,S_dried pollack veggie porridge
S브로콜리쇠고기죽,S_broccoli beef porridge
S쇠고기브로콜리죽,S_broccoli beef porridge
S브로콜리죽,S_broccoli porridge
S새송이버섯죽,S_Saesongyi mushroom porridge
S새우살죽,S_shrimp porridge
S새우살채소죽,S_shrimp veggie porridge
S새우살치즈죽,S_shrimp cheese porridge
S해물죽,S_seafood porridge
S새우죽,S_shrimp porridge
S쇠고기된장죽,S_beef soy paste porridge
S쇠고기무죽,S_beef daikon porridge
S달걀부추죽,S_egg chive porridge
S쇠고기부추죽,S_beef chive porridge
S쇠고기스프,S_beef soup
S쇠고기양파죽,S_beef onion porridge
S쇠고기장국죽,S_beef soy paste porridge
S소고기우엉죽,S_beef burdock porridge
S소고기감자죽,S_beef potato porridge
S쇠고기채소죽,S_beef veggie porridge
S쇠고기청경채죽,S_beef bokchoy porridge
S쇠고기타락죽,S_beef sweet potato porridge
S순두부죽,S_soft tofu porridge
S연두부채소죽,S_soft tofu veggie porridge
S연두부게살스프,S_soft crab tofu soup
S순두부채소죽,S_soft tofu veggie porridge
S시금치감자죽,S_spinach potato porridge
S시금치된장죽,S_spinach soy paste porridge
S시금치죽,S_spinach porridge
S시금치스프,S_spinach soup
S치즈죽,S_cheese porridge
S시금치치즈죽,S_spinach cheese porridge
S우유크림스프,S_milk cream soup
S단호박크림스프,S_sweet pumpkin cream soup
S당근크림스프,S_carrot cream soup
S옥수수크림스프,S_corn cream soup
S브로콜리크림스프,S_broccoli cream soup
S시금치크림스프,S_spinach cream soup
S아몬드견과죽,S_almond nut porridge
S아몬드스프,S_almond soup
S애호박감자죽,S_zucchini potato porridge
S애호박김죽,S_zucchini seaweed flake porridge
S애호박다시마죽,S_zucchini seaweed porridge
S양배추감자죽,S_cabbage potato porridge
S양배추새우죽,S_cabbage shrimp porridge
S양배추현미죽,S_cabbage brown rice porridge
S양송이채소죽,S_Yangsongyi mushroom veggie porridge
S양송이죽,S_Yangsongyi mushroom porridge
S양송이버섯죽,S_Yangsongyi mushroom porridge
S양송이스프,S_Yangsongyi mushroom soup
S양송이버섯스프,S_Yangsongyi mushroom soup
S양파북어죽,S_onion dried pollack porridge
S양파치즈스프,S_onion cheese soup
S양파치즈죽,S_onion cheese porridge
S양파타락죽,S_onion sweet potato porridge
S연근채소죽,S_lotus root veggie porridge
S두부죽,S_tofu porridge
S연두부죽,S_soft tofu porridge
S영양닭죽,S_deluxe chicken porridge
S영양부추타락죽,S_deluxe chive sweet potato porridge
S열무죽,S_summer radish porridge
S얼갈이배추죽,S_winter cabbage porridge
S오징어채소죽,S_cuttlefish veggie porridge
S옥수수양파죽,S_corn onion porridge
S옥수수죽,S_corn porridge
S찰옥수수스프,S_glutinous corn porridge
S옥수수치즈스프,S_corn cheese  soup
S옥수수타락죽,S_corn sweet potato porridge
S우엉죽,S_burdock porridge
S잣죽,S_pine nut porridge
S장국죽,S_soy paste porridge
S전복죽,S_abalone porridge
S조갯살죽,S_clam porridge
S참깨스프,S_sesame soup
S참깨우유스프,S_sesame milk soup
S참깨죽,S_sesame porridge
S참깨채소죽,S_sesame veggie porridge
S참깨크림스프,S_sesame cream soup
S참깨타락죽,S_sesame sweet potato porridge
S참치미역죽,S_tuna seaweed porridge
S참치죽,S_tuna porridge
S참치채소죽,S_tuna veggie porridge
S채소스프,S_veggie soup
S채소죽,S_veggie porridge
S취나물죽,S_chwinamul porridge
S치즈누룽지죽,S_cheese rice crust porridge
S캐슈넛참깨죽,S_cashewnut sesame porridge
S콩나물죽,S_bean sprout porridge
S타락죽,S_sweet potato porridge
S파래죽,S_sea lettuce porridge
S파프리카감자크림스프,S_paprika potato cream soup
S팥죽,S_red bean porridge
S표고버섯죽,S_Pyogo mushroom porridge
S현미쇠고기죽,S_brown rice beef porridge
S현미애호박죽,S_brown rice zucchini porridge
S애호박죽,S_zucchini porridge
S호두오곡죽,S_walnut five-grain porridge
S호두죽,S_walnut porridge
S호두채소죽,S_walnut veggie porridge
S호두치즈죽,S_walnut cheese porridge
S황태죽,S_dried pollack porridge
S흑미치즈죽,S_black rice cheese porridge
S흰살생선죽,S_white fish porridge
S닭영양죽,S_deluxe chicken porridge
S찹쌀단호박죽,S_sweet rice sweet pumpkin porridge
S생선죽,S_fish porridge
S대구채소죽,S_cod veggie porridge
S쇠고기옥수수죽,S_beef corn porridge
S쇠고기죽,S_beef porridge
S닭백숙,S_whole chicken soup
S브로콜리스프,S_broccoli soup
S호박죽,S_zucchini porridge
S(가공)크림스프,S_(processed) cream soup
S(가공)쇠고기스프,S_(processed) beef soup
S감자죽,S_potato porridge
S치즈게살죽,S_cheese soft crab porridge
S계란죽,S_egg porridge
S찹쌀고구마죽,S_sweet rice sweet potato porridge
S양송이치즈죽,S_Yangsongyi mushroom cheese porridge
S단호박스프,S_sweet pumpkin soup
S당근김죽,S_carrot seaweed flake porridge
S버섯야채죽,S_mushroom veggie porridge
S식빵두유죽,S_bread soy milk porridge
S(가공)소고기스프,S_(processed) beef soup
S양송이크림스프,S_Yangsongyi mushroom cream soup
S잣찹쌀죽,S_pine nut sweet rice porridge
S참나물죽,S_spring parsley porridge
S참치야채죽,S_tuna veggie porridge
S찹쌀닭죽,S_sweet rice chicken porridge
S마카로니채소샐러드,S_macaroni and vegetables salad
S영양주먹밥,deluxe rice ball
S감자우유죽,S_milk potato porridge
S애호박두부죽,S_zucchini tofu porridge
S감자채소죽,S_vegetable potato porridge
S두부부추죽,S_tofu chive porridge
S두부채소죽,S_tofu vegetable porridge
S들깨죽,S_perilla porridge
S땅콩죽,S_peanut porridge
S무청죽,S_dried radish leaves porridge
S바지락죽,S_clam porridge
S부추된장죽,S_chive soy paste porridge
S브로콜리된장죽,S_broccoli soy paste porridge
S새우채소죽,S_shirimp vegetable porridge
S쇠고기미역죽,S_seaweed beef porridge
S얼갈이된장죽,S_napa cabbage soy paste porridge
S오트밀죽,S_oatmeal porridge
S청경채죽,S_pak choi porridge
S흰죽,S_white rice porridge
S간장떡볶이,S_soy-based tteokbokki (stir-fried rice cake)
S고로케,S_croquette
S궁중떡볶이,S_royal-style tteokbokki (stir-fried rice cake)
S깻잎비빔국수,S_mixed noodles with perilla leaves
S녹차밤양갱,S_sweet green tea and chestnut jelly
S단호박견과류찜,S_steamed sweet pumpkin with nuts
S단호박구이,S_fried sweet pumpkin
S단호박찜,S_steamed sweet pumpkin
S단호박꿀찜,S_sweet pumpkin honey steam
S단호박크림리조또,S_sweet pumpkin cream risotto
S떡볶이,S_tteokbokki (stir-fried rice cake)
S멸치깡,S_anchovy cracker
S군만두,S_fried mandu (dumpling)
S우동,S_udon (white wheat noodles)
S미니우동,S_mini udon (white wheat noodles)
S미트볼스파게티,S_meat ball spaghetti
S비스켓,S_biscuit
S새우깡,S_shrimp cracker
S새우살크림소스볶음,S_stir-fried shrimp in cream sauce
S새우튀김,S_deep-fried shrimp
S(우유제외)수박화채,S_watermelon punch (without milk)
S과일화채,S_fruit punch
S수박화채,S_watermelon punch
S수정과,S_cinnamon punch
S쌀과자,S_rice cracker
S씨앗호떡,S_seed-filled fried pancake
S알리오올리오스파게티,S_aglio e olio spaghetti
S어묵잡채,S_stir-fried fish cake with glass noodles
S돼지고기잡채,S_stir-fried pork with glass noodles
S동태전,S_pan-fried pollack
S새우채소전,S_pan-fried shrimp and vegetables
S부추전,S_pan-fried chive
S김치전,S_pan-fried kimchi
S옥수수전,S_pan-fried corn
S단호박전,S_pan-fried sweet pumpkin
S연근전,S_pan-fried lotus root
S영양밥전,S_pan-fried deluxe rice
S오미자아이스크림,S_Omija ice cream
S오이비빔국수,S_mixed noodles with cucumber
S도토리묵무침,S_seasoned salad with acorn jelly
S도토리묵밥,S_chilled acorn jelly soup with rice
S온도토리묵밥,S_acorn jelly soup with rice
S온도토리묵국,S_acorn jelly soup
S메밀국수,S_chilled buckwheat noodles
S온메밀국수,S_buckwheat noodles
S짜장면,S_black soy noodles
S김치말이국수,S_chilled banquet noodles with kimchi
S잔치국수,S_banquet noodles
S가지카레튀김,S_braised eggplant in curry
S연근튀김,S_deep-fried lotus root
S단호박튀김,S_deep-fried sweet pumpkin
S톳채소튀김,S_deep-fried vegetables with hijiki
S채소튀김,S_fried vegetables
S치즈스틱,S_cheese stick
S코코아,S_hot chocolate
S쿠키,S_cookie
S크루통,S_crouton
S시금치스프레드식빵피자,S_spinach spread pizza
S수제감자피자,S_homestyle potato pizza
S크림떡볶이,S_cream tteokbokki (stir-fried rice cake)
S토마토스파게티,S_tomato spaghetti
S볶음우동,S_stir-fried udon (white wheat noodles)
S해물볶음우동,S_udon (white wheat noodles) with stir-fried seafood
S호떡,S_fried pancake
S들깨수제비,S_Sujebi with perilla seeds
S수제비,S_Sujebi
S연근강정,S_deep-fried lotus root
S닭강정,S_deep-fried chicken nuggets
S간장닭강정,S_soy-based deep-fried chicken nuggets
S간장소면무침,S_soy-based mixed noodles
S간장비빔국수,S_soy-based mixed noodles
S비빔국수,S_mixed noodles
S파래전,S_pan-fried sea lettuce
S해물파전,S_pan-fried seafood and spring onion
S쑥채소전,S_pan-fried vegetables with mugwort
S완자전,S_pan-fried meat dumpling
S양배추치즈전,S_pan-fried cabbage with cheese
S어묵탕,S_fried fish paste soup
S주꾸미미나리볶음밥,S_stir-fried rice with jukkumi and water celery
S크림리조또,S_cream risotto
S크림소스스파게티,S_cream sauce spaghetti
S해물굴소스볶음밥,S_stir-fried rice in oyster sauce
S연근어묵,S_lotus root fish cake
S양념꼬치어묵,S_fried fish paste with seasoning
S냉콩국+소면,S_noodles in soy soup
S레몬소스탕수육,S_dumpling in lemon sauce
S마늘종잡채,S_stir-fried stem of garlic and glass noodles
S피망잡채,S_stir-fried paprika and glass noodles
S짜장떡볶이,S_black soy tteokbokki (stir-fried rice cake)
흑미밥(30),steamed black rice (30)
흑미밥(40),steamed black rice (40)
흑미밥,steamed black rice
검정쌀밥(30),steamed black rice (30)
검정쌀밥(40),steamed black rice (40)
검정쌀밥,steamed black rice
검정콩밥(30),steamed rice with black beans (30)
검정콩밥(40),steamed rice with black beans (40)
검정콩밥,steamed rice with black beans
기장밥(30),steamed millet rice (30)
기장밥(40),steamed millet rice (40)
기장밥,steamed millet rice
쌀밥(30),steamed rice (30)
쌀밥1/2,steamed rice 1/2
쌀밥,steamed rice
백미밥(30),steamed white rice (30)
백미밥(추가),steamed white rice (add)
백미밥,steamed white rice
감자밥(30),steamed potato rice (30)
감자밥(40),steamed potato rice (40)
감자밥,steamed potato rice
보리밥(30),steamed barley rice (30)
보리밥(40),steamed barley rice (40)
보리밥,steamed barley rice
수수밥(30),steamed millet rice (30)
수수밥(40),steamed millet rice (40)
수수밥,steamed millet rice
완두콩밥(30),steamed mung bean rice (30)
완두콩밥(40),steamed mung bean rice (40)
완두콩밥,steamed mung bean rice
율무밥(30),steamed pearl barley rice (30)
율무밥(40),steamed pearl barley rice (40)
율무밥,steamed pearl barley rice
잡곡밥(30),steamed mixed-grain rice (30)
잡곡밥(40),steamed mixed-grain rice (40)
잡곡밥,steamed mixed-grain rice
차조밥(30),steamed sweet millet rice (30)
차조밥(40),steamed sweet millet rice (40)
차조밥,steamed sweet millet rice
찰현미밥(30),steamed sweet brown rice (30)
찰현미밥(40),steamed sweet brown rice (40)
찰현미밥,steamed sweet brown rice
찹쌀밥(30),steamed sweet rice (30)
흑미밥(추가),steamed black rice (add)
찹쌀밥(추가),steamed sweet rice (add)
찹쌀밥,steamed sweet rice
밤찹쌀팥밥(30),steamed chestnut red bean sweet rice (30)
밤찹쌀팥밥(40),steamed chestnut red bean sweet rice (40)
밤찹쌀팥밥,steamed chestnut red bean sweet rice
찹쌀팥밥(30),steamed red bean sweet rice (30)
찹쌀팥밥(40),steamed red bean sweet rice (40)
찹쌀팥밥,steamed red bean sweet rice
현미밥(30),steamed brown rice (30)
현미밥(40),steamed brown rice (40)
현미밥,steamed brown rice
팥밥(30),steamed red bean rice (30)
팥밥(40),steamed red bean rice (40)
팥밥,steamed red bean rice
고구마밥(30),steamed sweet potato rice (30)
고구마밥(40),steamed sweet potato rice (40)
고구마밥,steamed sweet potato rice
밤콩밥(30),steamed chestnut bean rice (30)
밤콩밥(40),steamed chestnut bean rice (40)
밤콩밥,steamed chestnut bean rice
옥수수밥(30),steamed corn rice (30)
옥수수밥(40),steamed corn rice (40)
옥수수밥,steamed corn rice
찹쌀보리밥(30),steamed sweet barley rice (30)
찹쌀보리밥(40),steamed sweet barley rice (40)
찹쌀보리밥,steamed sweet barley rice
팥찹쌀밥(30),steamed red bean sweet rice (30)
팥찹쌀밥(40),steamed red bean sweet rice (40)
팥찹쌀밥,steamed red bean sweet rice
찹쌀현미밥(30),steamed sweet brown rice (30)
현미찹쌀밥(30),steamed brown sweet  rice (30)
찹쌀현미밥(40),steamed sweet brown rice (40)
현미찹쌀밥(40),steamed brown sweet rice (40)
찹쌀현미밥,steamed sweet brown rice
현미찹쌀밥,steamed brown sweet rice
밤밥(30),steamed chestnut rice (30)
밤밥(40),steamed chestnut rice (40)
밤밥,steamed chestnut rice
흰콩밥(30),steamed white bean rice (30)
흰콩밥(40),steamed white bean rice (40)
흰콩밥,steamed white bean rice
가지채소볶음밥,stir-fried rice with aubergine and vegetables
새싹메밀비빔국수,mixed buckwheat noodles with sprouts
간장비빔국수,soy-based mixed noodles
게살비빔밥,Bibimbap with soft crab
게살파인애플볶음밥,stir-fried rice with soft crab and pineapple
겨울나물비빔밥,Bibimbap with winter herbs
고구마표고버섯밥,steamed sweet potato rice with Pyogo mushroom
닭영양밥,deluxe rice with chicken
굴소스닭가슴살덮밥,rice bowl with chicken in oyster sauce
돼지고기굴소스볶음밥,stir-fried rice with pork in oyster sauce
닭가슴살굴소스볶음밥,stir-fried rice with chicken in oyster sauce
닭가슴살채소볶음밥,stir-fried rice with chicken and vegetable
닭가슴살파프리카볶음밥,stir-fried rice with chicken and paprika
김치어묵볶음밥,stir-fried rice with kimchi and fried fish paste
짜장참치볶음밥,stir-fried rice with tuna in black soy
김치참치볶음밥,stir-fried rice with kimchi and tuna
김치치즈볶음밥,stir-fried rice with kimchi and cheese
깍두기치즈볶음밥,stir-fried rice with diced radish kimchi and cheese
깍두기볶음밥,stir-fried rice with diced radish kimchi
