kor,eng
멸치호두조림,Braised anchovy and walnut
임연수조림,Braised atka mackerel
임연수양념조림,Braised atka mackerel in soy sauce
임연수엿장조림,Braised atka mackerel in sweet soy sauce
임연수데리야끼조림,Braised atka mackerel in teriyaki sauce
임연수유자소스조림,Braised atka mackerel in yuzu sauce
아몬드잔멸치조림,Braised baby anchovy and almond
콩자반,beans cooked in soy sauce
콩조림,Braised beans
소고기브로콜리조림,Braised beef and broccoli
소고기우엉조림,Braised beef and burdock
소고기양배추조림,Braised beef and cabbage
소고기곤약조림,Braised beef and devil's tongue jelly
소고기당면조림,Braised beef and glass noodles
감자소고기조림,Braised potato and beef 
소고기감자조림,Braised beef(siroin)and potato
소고기메란조림,Braised beef and quail eggs
소고기떡조림,Braised beef and rice cake
고구마소고기조림,Braised beef and sweet potato
소고기단호박조림,Braised beef and sweet pumpkin
소고기단호박찜,Steamed beef and sweet pumpkin in soy sauce
소고기토마토조림,Braised beef and tomato
소고기채소조림,Braised beef and vegetables
소고기호두조림,Braised beef and walnut
애호박소고기찜,Braised beef and zucchini
소고기장똑똑이,Braised beef chops
모듬장조림,Braised pork and quail egg in soy sauce
소고기모듬장조림,Braised beef in soy sauce
갈비조림,Braised beef rib
소갈비찜,Braised beef ribs
소고기등심떡찜,Braised beef sirloin and rice cake
검정콩조림,Braised black beans
검정콩호두조림,Braised black beans and walnut
순살찜닭,Braised boneless chicken
너비아니조림,Braised bulgogi
우엉조림,Braised burdock 
우엉채조림,Braised burdock slices
우엉어묵조림,Braised burdock and fried fish paste
우엉채어묵조림,Braised burdock slices and fried fish paste
우엉채곤약조림,Braised burdock slices and konjac
우엉조랭이떡조림,Braised burdock slices and mini-ball rice cake
땅콩우엉조림,Braised burdock slices and peanut
우엉간장조림,Braised burdock slices in soy sauce
병어조림,Braised butterfish
어묵당근조림,Braised carrot and fried fish paste
닭가슴살조림,Braised chicken
닭가슴살간장조림,Braised chicken in soy sauce(breast)
닭간장조림,Braised chicken in soy sauce
닭고기간장조림,Braised chicken in soy sauce(meat only)
닭살간장조림,Braised chicken in soy sauce(boneless)
닭떡간장조림,Braised chicken and beef in soy sauce with rice cake
닭살연근조림,Braised chicken and lotus root in soy sauce
닭감자조림,Braised chicken and potato
닭고구마조림,Braised chicken and sweet potato
닭살고구마조림,Braised chicken(meat only) and sweet potato
고구마닭간장조림,Braised chicken and sweet potato in soy sauce
닭가슴살단호박조림,Braised chicken and sweet pumpkin
닭채소조림,Braised chicken and vegetables
닭가슴살호두조림,Braised chicken and walnut
닭봉조림,Braised chicken drumsticks
닭다리살장조림,Braised chicken drumsticks and beef in soy sauce
닭다리살소스조림,Braised chicken drumsticks in sauce
닭봉소스조림,Braised chicken wing in sauce
닭살카레조림,Braised chicken in curry(meat only)
닭살카레튀김,Deep-fried chicken in curry
닭가슴살데리야끼조림,Braised chicken(breast) in teriyaki sauce
닭살데리야끼조림,Braised chicken(meat only) in teriyaki sauce
닭가슴살채소말이조림,Braised chicken roll with vegetables
닭고기장똑똑이,Braised chicken shreds
닭날개조림,Braised chicken wings
닭날개간장조림,Braised chicken wings and beef in soy sauce
닭고기우유조림,Braised chicken with milk
닭살깻잎조림,Braised chicken with perilla leaves
닭감자고구마조림,Braised chicken with potato and sweet potato
명엽채고추장조림,Braised chilli pepper and dried pollack in soy sauce
대구살조림,Braised cod
대구엿장조림,Braised cod in sweet soy sauce
갈치조림,Braised cutlassfish
갈치무조림,Braised cutlassfish and daikon
갈치감자조림,Braised cutlassfish and potato
한치어묵조림,Braised cuttlefish and fried fish paste
오징어간장조림,Braised cuttlefish in soy sauce
무조림,Braised daikon
둥근어묵무조림,Braised daikon and fried fish paste
진미채고추장조림,Braised dried cuttlefish and chilli pepper in soy sauce
진미채간장조림,Braised dried cuttlefish in soy sauce
명엽채조림,Braised dried pollack
건새우조림,Braised dried shrimp
달걀간장조림,Braised eggs in soy sauce
달걀장조림,Eggs boiled down in soy sauce
무화과땅콩조림,Braised fig and peanut
볼어묵조림,Braised fried fish paste bowl
동태무조림,Braised frozen alaska pollock and daikon
임연수무조림,Braised frozen atka mackerel and daikon
마늘쫑조림,Braised garlic stem
두절건새우마늘종조림,Braised garlic stem and dried shrimp
마늘쫑감자조림,Braised garlic stem and potato
다진소고기메추리알조림,Braised ground beef and quail eggs
가자미조림,Braised halibut
가자미무조림,Braised halibut and daikon
가자미양파조림,Braised halibut and onion
가자미양념조림,Braised halibut in marinade sauce
가자미간장조림,Braised halibut with soy sauce
주꾸미간장조림,Braised jukkumi in soy sauce
강낭콩조림,Braised kidney beans
새송이버섯조림,Braised king oyster mushroom
어묵곤약조림,Braised konjac and fried fish paste
메추리알곤약조림,Braised konjac and quail eggs
곤약메추리알장조림,Braised konjac and quail eggs in soy sauce
장산적조림,Braised korean kebab in soy sauce
연근조림,Braised lotus root
땅콩연근조림,Braised lotus root and peanut
연근호두조림,Braised lotus root and walnut
연근간장조림,Braised lotus root in soy sauce
연근엿장조림,Braised lotus root in sweet soy sauce
고등어조림,Braised mackerel
고등어무조림,Braised mackerel and daikon
고등어김치조림,Braised mackerel and kimchi
고등어양념조림,Braised mackerel in marinade sauce
미트볼조림,Braised meat ball
미트볼피망조림,Braised meat ball and paprika
미트볼감자조림,Braised meat ball and potato
동그랑땡채소조림,Braised meat ball and vegetables
미트볼케첩조림,Braised meat ball in ketchup
미트볼토마토소스조림,Braised meat ball in tomato sauce
완자조림,Braised meat dumpling
완자케첩조림,Braised meat dumpling in ketchup
알감자조림,Braised mini-potato
버섯애호박조림,Braised mushroom and zucchini
홍합조림,Braised mussel
모듬견과조림,Braised nuts
견과우엉채조림,Braised nuts and burdock slices
호두견과조림,Braised nuts with walnut
문어조림,Braised octopus
느타리버섯조림,Braised oyster mushrooms
어묵피망조림,Braised paprika and fried fish paste
땅콩조림,Braised peanut
깻잎순조림,Braised perilla leaf
코다리조림,Braised pollack
코다리무조림,Braised pollack and daikon
코다리양념조림,Braised pollack in marinade sauce
동태살엿장조림,Braised pollack in sweet soy sauce
코다리엿장조림,Braised semi dried pollack in sweet soy sauce
돼지고기곤약조림,Braised pork and devil's tongue jelly
돼지고기연근찜,Braised pork and lotus root
돼지고기연근조림,Braised pork and lotus root in soy sauce
돼지고기감자조림,Braised pork and potato
돼지고기표고찜,Braised pork and shiitake mushroom
돼지갈비단호박찜,Braised pork and sweet potato
단호박돼지고기조림,Braised pork and sweet pumpkin
돼지고기단호박조림,Braised pork and sweet pumpkin in soy sauce
돼지고기채소조림,Braised pork and vegetables
돼지고기호두조림,Braised pork and walnut
삼겹살콩나물찜,Braised pork belly and bean sprouts
돼지고기장똑똑이,Braised pork chops
돼지고기장조림,Braised pork in soy sauce
돼지고기장조림(안심),Braised pork in soy sauce (tenderloin)
돼지고기갈비찜,Braised pork rib with soy sauce
떡갈비조림,Braised pork roll with rice cake
떡갈비피망조림,Braised pork roll with rice cake and paprika
떡갈비간장조림,Braised pork roll with rice cake in soy sauce
돼지사태떡찜,Braised pork shank and rice cake
돈사태장조림,Braised pork shank in soy sauce
돼지사태찜,Braised pork shanks
돼지고기스테이크조림,Braised pork steak
감자조림,Braised potato
감자어묵조림,Braised potato and fried fish paste
어묵감자조림,Braised potato and fried fish cake
감자마늘쫑조림,Braised potato and garlic stem
감자비엔나조림,Braised potato and sausage
감자채소조림,Braised potato and vegetables
감자간장조림,Braised potato in soy sauce
치즈감자조림,Braised potato with cheese
메추리알어묵조림,Braised quail eggs and fried fish paste
메추리알볼어묵조림,Braised quail eggs and fried fish paste bowl
메추리알피망케첩조림,Braised quail eggs and paprika in ketchup
메추리알케첩조림,Braised quail eggs in ketchup
메란장조림,Braised quail eggs in soy sauce
메추리알장조림,Quail eggs boiled down in soy sauce
달걀새송이장조림,Braised saesongyi mushroom and eggs in soy sauce
꽁치조림,Braised saury
북어채조림,Braised shredded dried pollack
황태채조림,Braised shredded frozen and dried pollack
새우살조림,Braised shrimp
새우살연근조림,Braised shrimp and lotus root
새우볼조림,Braised shrimp bowl
맛살간장조림,Braised soft crab in soy sauce
삼치조림,Braised spanish mackerel
삼치무조림,Braised spanish mackerel and daikon
삼치살무조림,Braised spanish mackerel(fielet) and daikon
삼치무간장조림,Braised spanish mackerel and daikon in soy sauce
삼치단호박조림,Braised spanish mackerel and sweet pumpkin
삼치살양념조림,Braised spanish mackerel(fielet) in marinade sauce
삼치양념조림,Braised spanish mackerel in marinade sauce
삼치간장조림,Braised spanish mackerel in soy sauce
삼치쌈장조림,Braised spanish mackerel in soy sauce with wraps
삼치엿장조림,Braised spanish mackerel in sweet soy sauce
삼치살데리야끼조림,Braised spanish mackerel in teriyaki sauce
삼치살두부감자조림,Braised spanish mackerel with tofu and potato
닭볶음탕,Braised spicy chicken
순살닭볶음탕,Braised spicy chicken without bones
오징어무조림,Braised squid and radish
고구마조림,Braised sweet potato
어묵고구마조림,Braised sweet potato and fried fish paste
고구마메추리알조림,Braised sweet potato and quail egg
메추리알고구마조림,Braised sweet potato and quail eggs
고구마엿장조림,Braised sweet potato in sweet soy sauce
고구마우유조림,Braised sweet potato with milk
단호박조림,Braised sweet pumpkin
단호박견과류조림,Braised sweet pumpkin and nuts
단호박돼지고기등심조림,Braised sweet pumpkin and pork loin
단호박호두조림,Braised sweet pumpkin and walnut
두부조림,Braised tofu
건새우두부조림,Braised tofu and dried shrimp
두부어묵조림,Braised tofu and fried fish paste
견과두부조림,Braised tofu and nuts
두부땅콩조림,Braised tofu and crashed peanut
땅콩두부조림,Braised tofu and peanut
두부떡간장조림,Braised tofu and rice cake in soy sauce
두부케첩조림,Braised tofu in ketchup
두부양념조림,Braised tofu in marinade sauce
간장두부조림,Braised tofu in soy sauce
두부간장조림,Braised tofu(fried) in soy sauce
매콤두부조림,Braised tofu in spicy sauce
두부데리야끼조림,Braised tofu in teriyaki sauce
깻잎두부조림,Braised tofu with perilla leaves
두부양념찜,Braised tofu with sauce
토마토두부무조림,Braised tomato tofu and daikon
토마토소스닭조림,Braised chicken in tomato sauce
참치어묵조림,Braised tuna and fried fish paste
볼어묵채소조림,Braised vegetables and fried fish paste bowl
뱅어포조림,Braised white bait
뱅어포간장조림,Braised white bait in soy sauce
애호박조림,Braised zucchini
브로콜리스프,Broccoli soup
메밀소바,Buckwheat noodles
온메밀국수,Buckwheat noodles(hot)
불고기,Bulgogi
불고기채소비빔밥,Bulgogi vegetable fried rice
우엉소고기볶음밥,Burdock beef fried rice
우엉주먹밥,Burdock rice ball
건새우우엉주먹밥,Burdock rice ball with dried shrimp
머위들깨국,Butterbur perilla seed soup
양배추오이샐러드,Cabbage and cucumber salad
양배추사과샐러드,Cabbage apple salad
양배추콘샐러드,Cabbage corn salad
양배추초절임,Cabbage in vinegar marinade
양배추백짬뽕국,Cabbage mild seafood noodle soup
양배추샐러드,Cabbage salad
양배추샐러드(레몬드레싱),Cabbage salad (lemon dressing)
양배추샐러드(참깨드레싱),Cabbage salad (sesame dressing)
양배추샐러드(딸기드레싱),Cabbage salad (strawberry dressing)
양배추샐러드(사우전아일랜드드레싱),Cabbage salad (thousand island dressing)
양배추유자청샐러드,Cabbage salad in yuzu marinade
양배추소시지덮밥,Cabbage sausage rice bowl
양배추맑은국,Cabbage soup(clear)
양배추된장국,Cabbage soy paste soup
양배추쌈,Cabbage wraps
케이준샐러드,Cajun salad
유채된장국,Canola soy paste soup
당근황태국,Carrot dried pollack soup
당근스프,Carrot soup
당근스틱,Carrot stick
근대국,Chard soup
근대맑은국,Chard soup(clear)
근대장국수,Chard soy paste noodles
근대된장국,Chard soy paste soup
근대토장국,Chard soup(soy paste+red pepper paste)
치즈돈까스,Cheese cutlet
치즈오믈렛,Cheese omelette
치즈등심돈까스,Cheese pork sirloin cutlet
치즈스크램블에그,cheese scrambled eggs
닭살짜장밥,Chicken black bean paste rice
닭고기곰탕,Chicken bone soup
닭곰탕,Chicken bone broth
닭가슴살샐러드(머스타드소스),Chicken breast (mustard sauce)
닭가슴살미역국,Chicken breast seaweed soup
닭살찹스테이크,Chicken chop steak
치킨까스,Chicken cutlet
치킨까스+소스,Chicken cutlet + sauce
닭고기무국,Chicken daikon soup
닭다리백숙,Chicken drumstick soup
닭살당면국,Chicken glass noodles soup
닭살숙주국,Chicken green bean sprout soup
닭살버섯맑은국,Chicken mushroom soup (clear)
닭칼국수,Chicken noodle soup
치킨너겟+머스타드소스,Chicken nuggets + mustard sauce
치킨너겟+소스,Chicken nuggets + sauce
치킨너겟+토마토케첩,Chicken nuggets + tomato ketchup
닭살양파국,Chicken onion soup
닭살미역국,Chicken seaweed soup
닭꼬치,Chicken skewers
찹쌀닭백숙,Chicken soup with glutinous rice
닭살된장국,Chicken soybean paste soup
닭살시금치국,Chicken spinach soup
닭개장,Chicken stew
맑은닭개장,Chicken stew(clear)
닭살케첩볶음,Chicken stir-fried with ketchup
치킨텐더샐러드(머스타드드레싱),Chicken tender salad (mustard dressing)
닭살데리야끼덮밥,Chicken teriyaki rice bowl
닭살토마토소스덮밥,Chicken tomato rice bowl
닭살토마토스파게티,Chicken tomato spaghetti
닭채소칼국수,Chicken vagetable noodle soup
채소닭고기국,Chicken vegetable soup
닭고기채소찌개,Chicken vegetable stew
닭살채소주먹밥,Chicken veggie rice ball
치킨마요덮밥,Chicken-mayo rice bowl
도토리묵냉국,Chilled acorn jelly soup
가지냉국,Chilled aubergine soup
냉콩국+소면,Chilled bean soup with noodles
메밀국수,Chilled buckwheat noodles
깐풍돼지고기덮밥,Chilli deep-fried pork rice bowl
칠리새우,Chilli shrimp
부추양파생채,Chive and onion salad
부추달걀국,Chive egg  soup
부추미소장국,Chive miso paste soup
부추들깨국,Chive perilla seed soup
부추재첩국,Chive shellfish soup
부추새우맑은국,Chive shrimp soup
부추맑은국,Chive soup
부추된장국,Chive soy paste soup
충무김밥,Choongmoo gimbap (rice roll)
충무김밥+반찬,Choongmoo gimbap (rice roll) + side dishes
찹스테이크,Chop steak
소고기찹스테이크,Chopped beef steak
잘게썬오징어무국,Chopped squid and radish soup
춘천닭갈비,Chuncheon-style stir-fried chicken
삼치유자소스조림,Citrus sauce-braised japanese spanish mackerel
대합전복미역국,Clam abalone seaweed soup
부추바지락국,Little neck clam and chive soup
조갯살부추국,Clam and chive soup
조갯살부추맑은국,Clam and chive soup(clear)
조갯살아욱국,Clam curled mallow  soup
바지락살무국,Clam daikon soup
조갯살시래기국,Clam dried radish leaf soup
바지락파래국,Clam sea lettuce soup
대합미역국,Sakhalin surf-clam and seaweed soup
바지락미역국,Little neck clamand and seaweed soup
조갯살미역국,Clam and seaweed soup
바지락살순두부국,Little neck clam and unpressed tofu soup
조갯살순두부맑은국,Clam and unpressed tofu soup
조갯살연두부장국,Clam soft tofu soy paste soup
대합국,Sakhalin surf-clam soup
맑은바지락탕,Clear little neck clam soup
모시조개탕,short-necked clam soup
바지락국,Little neck clam soup
바지락맑은국,Little neck clam soup(clear)
바지락살맑은국,Little neck clam(shell-less) soup
조갯살맑은국,Clam soup
바지락된장국,Little neck clam soy paste soup
조갯살된장국,Clam soy paste soup
조갯살된장찌개,Clam soy paste stew
맑은양배추국,Clear cabbage soup
맑은배추국,Clear napa cabbage soup
꼬막된장찌개,Cockle soy paste stew
대구살맑은국,Cod(fielet)  soup
대구지리,Cod soup(clear)
대구탕,Cod soup
냉콩나물국,Cold bean sprout soup(kelp stock)
콩나물냉국,Cold bean sprout soup
오이미역냉국,Cold cucumber seaweed soup
오이냉국,Cold cucumber soup
참외미역냉국,Cold korean melon seaweed soup
미역오이냉국,Cold seaweed cucumber soup
미역냉국,Cold seaweed soup
코울슬로,Coleslaw
콘샐러드,Corn salad
콘샐러드(올리브유드레싱),Corn salad (olive oil dressing)
옥수수스프,Corn soup
꽃게탕,Crab soup
맑은꽃게탕,Crab soup(clear)
꽃게된장국,Crab soy paste soup
게살스프,Crap soup
햄크림파스타,Cream pasta with ham
크림리조또,Cream risotto
크림스프,Cream soup
크림소스스파게티,Cream spaghetti
크림떡볶이,Cream tteokbokki (stir-fried rice cake)
고로케,Croquette
쑥갓어묵국,Crown daisy fried fish paste soup
쑥갓어묵탕,Crown daisy fried fish cake soup
쑥갓맑은국,Crown daisy soup
쑥갓된장국,Crown daisy soy paste soup
달래두부된장국,Crushed tofu and wild garlic soy paste soup
으깬두부된장국,Crushed tofu soy paste soup
오이무생채,Cucumber and daikon salad
오이토마토샐러드(발사믹드레싱),Cucumber and tomato salad (balsamic vinegar dressing)
오이부추생채,Cucumber chive salad
오이초절임,Cucumber in vinegar marinade
오이소박이,Oi-Sobagi
오이소박이김치,Cucumber kimchi
오이오믈렛,Cucumber omelette
오이뱃두리,Cucumber pot
오이샐러드,Cucumber salad
오이생채,Cucumber korean style salad
오이스틱,Cucumber stick
아욱우렁된장국,Curled mallow and river snail soup
아욱국,Curled mallow soup
아욱맑은국,Curled mallow soup(clear)
아욱된장국,Curled mallow soy paste stew
아욱장국,Curled mallow soy paste soup
아욱토장국,Curled mallow soup(soy paste+red pepper paste)
카레라이스,Curried rice
소고기카레라이스,Curried rice with beef
닭고기카레라이스,Curried rice with chicken
닭살카레라이스,Curried rice with chicken(meat only)
닭살카레밥+양념장,Curried rice with chicken + marinade sauce
닭살카레감자밥+양념장,Curried rice with chicken and potato + marinade sauce
과일카레라이스,Curried rice with fruits
돼지고기카레라이스,Curried rice with pork
새송이버섯카레라이스,Curried rice with saesongyi mushroom
단호박카레라이스,Curried rice with sweet pumpkin
두부카레라이스,Curried rice with tofu
맑은오징어무국,Cuttlefish daikon soup(clear)
오징어무국,Cuttlefish daikon soup
오징어숙주국,Cuttlefish green bean sprout soup
오징어칼국수,Cuttlefish noodle soup
오징어국,Cuttlefish soup
오징어맑은국,Cuttlefish soup(clear)
오징어찌개,Cuttlefish stew
오징어채소덮밥,Cuttlefish veggie rice bowl
배무생채,Daikon and pear salad
무미역생채,Daikon and seaweed salad
미나리무생채,Daikon and winter celery salad
무생채,Daikon salad
무맑은국,Daikon soup
무된장국,Daikon soy paste soup
채소튀김(감자),Deep fried vegetables (potato)
채소튀김(고구마),Deep fried vegetables (sweet potato)
임연수튀김,Deep-fried atka mackerel
가지튀김,Deep-fried aubergine
가지카레튀김,Deep-fried aubergine in curry
가지깐풍,Deep-fried aubergine in spicy sauce
브로콜리튀김,Deep-fried broccoli
닭가슴살튀김,Deep-fried chicken(breast)
닭살튀김,Deep-fried chicken(meat only)
후라이드치킨,Deep-fried chicken
닭다리살튀김,Deep-fried chicken drumsticks
닭강정,Deep-fried chicken nuggets
순살닭강정,Deep-fried chicken(meat only) nuggets
